-	A first-in-human evaluation of the safety and immunogenicity of SCB-2019, an adjuvanted, recombinant SARS-CoV-2 trimeric S-protein subunit vaccine for COVID-19 in healthy adults
-	Detailed disease progression of 213 patients hospitalized with Covid-19 in the Czech Republic: An exploratory analysis.
33705495	Interventions for treatment of COVID-19: second edition of a living systematic review with meta-analyses and trial sequential analyses (The LIVING Project)
33835886	A two-arm, randomized, controlled, multi-centric, open-label Phase-2 study to evaluate the efficacy and safety of Itolizumab in moderate to severe ARDS patients due to COVID-19.
-	Convalescent Plasma in COVID-19. Mortality-Safety First Results of the Prospective Multicenter FALP 001-2020 Trial.
-	Low Dose Hydroxychloroquine is Associated with Lower Mortality in COVID-19: A Meta-Analysis of 27 Studies and 44,684 Patients.
33895559	Clinical Efficacy of Eucaloric Ketogenic Nutrition in the COVID-19 Cytokine Storm: a Retrospective Analysis of Mortality and ICU Admission.
33484407	The efficacy and safety of hydroxychloroquine in COVID19 patients: a multicenter national retrospective cohort.
33293554	Predictors of QT Interval Prolongation in Critically-ill Patients with SARS-CoV-2 Infection Treated with Hydroxychloroquine
-	Ivermectin as an adjunct treatment for hospitalized adult COVID-19 patients: A randomized multi-center clinical trial.
33235105	First Clinical Study Using HCV Protease Inhibitor Danoprevir to Treat Naïve and Experienced COVID-19 Patients.
33406353	Prevention of severe COVID-19 in the elderly by early high-titer plasma.
35859298	Effectiveness of remdesivir with and without dexamethasone in hospitalized patients with COVID-19.
-	5-Alpha-Reductase Inhibitors Reduce Remission Time of COVID-19: Results From a Randomized Double Blind Placebo Controlled Interventional Trial in 130 SARS-CoV-2 Positive Men.
-	Effect of Vitamin D3 Supplementation vs Placebo on Hospital Length of Stay in 2 Patients with Severe COVID-19: A Multicenter, Double-blind, Randomized 3 Controlled Trial.
33785743	Peginterferon-lambda for the treatment of COVID-19 in outpatients.
35726131	Efficacy and Safety of Ivermectin for Treatment and prophylaxis of COVID-19 Pandemic.
-	Vitamin D status and seroconversion for COVID-19 in UK healthcare workers who isolated for COVID-19 like symptoms during the 2020 pandemic.
-	Mathematical analysis of Córdoba calcifediol trial suggests strong role for Vitamin D in reducing ICU admissions of hospitalized COVID-19 patients.
33571009	Corticosteroids are associated with increased survival in elderly presenting severe SARS-Cov2 infection.
35641155	Therapeutic use of convalescent plasma in COVID-19 patients with immunodeficiency.
-	Evaluating the Efficacy of Tocilizumab in Moderate to Severe COVID-19 with Progressive Illness despite Steroids: Identifying the Optimal Timing of its Administration in C3G study.
-	Reducing the use of empiric antibiotic therapy in patients on admission to the hospital with COVID-19.
-	"Repurposing of drugs for Covid-19: asystematic review and meta-analysis"
35126138	A systematic review of Anakinra, Sarilumab, Siltuximab with meta-analysis of Tocilizumab for Covid-19.
-	Remdesivir-based therapy improved recovery of patients with COVID-19 in the SARSTer multicentre, real-world study
33958057	Evidence favoring the efficacy of convalescent plasma for COVID-19 therapy
-	Early Tocilizumab Dosing is Associated with Improved Survival In Critically Ill Patients Infected With SARS-CoV-2
33592050	Role of ivermectin in the prevention of COVID-19 infection among healthcare workers in India: A matched case-control study
-	The use of compassionate Ivermectin in the management of symptomatic outpatients and hospitalized patients with clinical diagnosis of COVID-19 at the Medical Center Bournigal and the Medical Center Punta Cana, Rescue Group, Dominican Republic, from may 1 to august 10, 2020
-	Efficacy of Convalescent Plasma Therapy compared to Fresh Frozen Plasma in Severely ill COVID-19 Patients: A Pilot Randomized Controlled Trial.
33140042	Treatment with Zinc is Associated with Reduced In-Hospital Mortality Among COVID-19 Patients: A Multi-Center Cohort Study
-	Low dose hydroxychloroquine is associated with lower mortality in COVID-19: a meta-analysis of 26 studies and 44,521 patients
34322971	The Role of Vitamin D in The Age of COVID-19: A Systematic Review and Meta-Analysis
-	Equine hyperimmune globulin raised against the SARS-CoV-2 spike glycoprotein has extremely high neutralizing titers
-	Phase II Clinical trial for Evaluation of BCG as potential therapy for COVID-19
33173896	Safety, Tolerability, and Immunogenicity of COVID-19 Vaccines: A Systematic Review and Meta-Analysis
33420963	Pilot Trial of High-dose vitamin C in critically ill COVID-19 patients
-	Tocilizumab in nonventilated patients hospitalized with Covid-19 pneumonia
33643746	Early use of nitazoxanide in mild Covid-19 disease: randomized, placebo-controlled trial
-	Effectiveness of Ivermectin as add-on Therapy in COVID-19 Management
-	Controlled randomized clinical trial on using Ivermectin with Doxycycline for treating COVID-19 patients in Baghdad, Iraq
-	Hydroxychloroquine, nitazoxanide and ivermectin have similar effects in early COVID-19: a head-to-head comparison of the Pre-AndroCoV Trial
-	Clinical Course and Outcomes of coronavirus disease 2019 (COVID-19) in Rheumatic Disease Patients on Immunosuppression: A case Cohort Study at a Single Center with a Significantly Diverse Population
33608891	Dexamethasone use and Mortality in Hospitalized Patients with Coronavirus Disease 2019: a Multicenter Retrospective Observational Study
35860245	Intravenous Mesenchymal Stem Cells in Extracorporeal Oxygenation Patients with Severe COVID-19 Acute Respiratory Distress Syndrome
-	Treatment with human umbilical cord-derived mesenchymal stem cells for COVID-19 patients with lung damage: a randomised, double-blind, placebo-controlled phase 2 trial
34801738	Efficacy and Safety of Arbidol in Treatment of Patients with COVID-19 Infection: A Randomized Clinical Trial
-	Large population study identifies drugs associated with reduced COVID-19 severity
-	Tocilizumab is associated with reduction in inflammation and improvement in P/F ratio in critically sick COVID19 patients
35870876	Pharmacological treatment for patients with coronavirus disease 2019: systematic review of randomized controlled trials
35894476	Repurposed antiviral drugs for COVID-19
35581997	Melatonin is significantly associated with survival of intubated COVID-19 patients
33813110	A placebo-controlled double blind trial of hydroxychloroquine in mild-to-moderate COVID-19
33685275	CLINICAL COURSE AND OUTCOME OF COVID-19 ACUTE RESPIRATORY DISTRESS SYNDROME: DATA FROM A NATIONAL REPOSITORY
34251307	Tocilizumab in Treatment of Severe COVID-19 Patients: A Systematic Review and Meta-Analysis of Cohort Studies
-	Enoxaparin is associated with lower rates of thrombosis, kidney injury, and mortality than Unfractionated Heparin in hospitalized COVID patients
35859991	Clinical Outcomes With the Use of Prophylactic Versus Therapeutic Anticoagulation in COVID-19
35761219	Effect of convalescent plasma on mortality in patients with COVID-19 pneumonia
35232458	Montelukast in Hospitalized Patients Diagnosed with COVID-19
-	COVID-19: Ivermectin prophylaxis in adult contacts. Report on First Cases of Prophylaxis for Healthcare Personnel and PostExposure Prophylaxis
-	Renin Angiotensin System Inhibition and Susceptibility and Outcomes from COVID-19: A Systematic Review and Meta-analysis of 69,200 COVID-19 Patients
-	Real-world effectiveness of hydroxychloroquine, azithromycin, and ivermectin among hospitalized COVID-19 patients: results of a target trial emulation using observational data from a nationwide healthcare system in Peru
33194485	Comparison of Efficacy of Dexamethasone and Methylprednisolone in Improving the Partial Pressure of Arterial Oxygen and Fraction of Inspired Oxygen Ratio among COVID-19
-	An open-label prospective observational study of antiandrogen and non-antiandrogen early pharmacological approaches in females with mild-to-moderate COVID-19. The Pre-AndroCoV Female Trial
-	Azithromycin with nitazoxanide, hydroxychloroquine or ivermectin, with or without dutasteride, for early stage COVID-19: an open-label prospective observational study in males with mild-to-moderate COVID-19 (The Pre-AndroCoV Male Trial)
34353699	Low-density lipoprotein cholesterol levels are associated with poor clinical outcomes in COVID-19
35230215	Anakinra After Corticosteroid and/or Tocilizumab Treatment in Patients with Severe COVID-19 Pneumonia and Moderate Hyperinflammation. A Retrospective Cohort Study
33641159	Systematic review and patient-level meta-analysis of SARS-CoV-2 viral dynamics to model response to antiviral therapies
35783610	Convalescent plasma treatment of severe COVID-19: A matched control study
-	Early transfusion of a large cohort of COVID-19 patients with high titer anti-SARS-CoV-2 spike protein IgG convalescent plasma confirms a signal of significantly decreased mortality
-	A Novel Protein Drug, Novaferon, as the Potential Antiviral Drug for COVID-19
-	Hydroxychloroquine as Post-Exposure Prophylaxis for Covid-19: Why simple data analysis can lead to the wrong conclusions from well-designed studies
-	Pre exposure Hydroxychloroquine use is associated with reduced COVID19 risk in healthcare workers - a Retrospective cohort
-	Pathogenesis-based pre-exposure prophylaxis associated with low risk of SARS-CoV-2 infection in healthcare workers at a designated Covid-19 hospital
-	A Randomized Controlled Study Of Favipiravir Vs Hydroxychloroquine In COVID-19 Management: What Have We Learned So Far?
-	Corticosteroid pulses for hospitalized patients with COVID-19: Effects on mortality and in-hospital stay
-	Comprehensive Systematic Review to Identify putative COVID-19 Treatments: Roles for Immunomodulator and Antiviral Treatments
35299062	Impact of tocilizumab administration on mortality in severe COVID-19
32935090	Patient-Reported Health Outcomes After Treatment of COVID-19 with Nebulized and/or Intravenous Neutral Electrolyzed Saline Combined with Usual Medical Care Versus Usual Medical care alone: A Randomized, Open-Label, Controlled Trial
-	Evaluation of the Efficacy of Methylprednisolone Pulse Therapy in Treatment of Covid-19 Adult Patients with Severe Respiratory Failure: Randomized
-	A Randomized Trial of Ivermectin-Doxycycline and Hydroxychloroquine-Azithromycin therapy on COVID19 patients
-	Engineered interferon alpha effectively improves clinical outcomes of COVID-19 patients
33936897	Clearing the fog: Is HCQ effective in reducing COVID-19 progression: A randomized controlled trial
-	Randomized Controlled Trials of Early Ambulatory Hydroxychloroquine in the Prevention of COVID-19 Infection, Hospitalization, and Death: Meta-Analysis
-	Brief communication: A meta-analysis of randomized trials of hydroxychloroquine for the prevention of COVID-19
34735523	Efficacy of Famotidine for COVID-19: A Systematic Review and Meta-analysis
34964849	The Impact of Colchicine on The COVID-19 Patients: A Clinical Trial Study
-	Pulmonary radiological change of COVID-19 patients with 99mTc-MDP treatment
33440088	Safety and immunogenicity of the Ad26.COV2.S COVID-19 vaccine candidate: interim results of a phase 1/2a, double-blind, randomized, placebo-controlled trial
-	"High-dose vitamin C infusion for the treatment ofcritically ill COVID-19"
35887283	Tocilizumab in Hospitalized Patients With COVID-19 Pneumonia
33657114	Early Anti-SARS-CoV-2 Convalescent Plasma in Patients Admitted for COVID-19: A Randomized Phase II Clinical Trial
-	Pentoxifylline and Covid-19: A Systematic Review
-	The use of intravenous immunoglobulin gamma for the treatment of severe coronavirus disease 2019: A randomised placebo-controlled double-blind clinical trial
34781981	Hydroxychloroquine as pre-exposure prophylaxis for COVID-19 in healthcare workers: a randomized trial
-	Pre-exposure prophylaxis with hydroxychloroquine for COVID-19: initial results of a double-blind, placebo-controlled randomized clinical trial
33982938	Comparative Effectiveness of Famotidine in Hospitalized COVID-19 Patients
33990619	Mortality outcomes with hydroxychloroquine and chloroquine in COVID-19: an international collaborative meta-analysis of randomized trials.
33115675	Clinical Outcomes and Plasma Concentrations 1 of Baloxavir Marboxil and Favipiravir in COVID-19 Patients: An Exploratory Randomized, Controlled Trial
34020215	Effect of Arbidol on COVID-19: A Randomized Controlled Trial
33928532	Combination of Tocilizumab and steroids to improve mortality in patients with severe COVID-19 infection: A spanish, multicenter, cohorty study
35134505	Safety and Efficacy of Antiviral Drugs for the Treatment of Patients with SARS-CoV-2 Infection: A Systematic Review and Meta-analyses
-	The therapeutic effectiveness of Convalescent plasma therapy on treating COVID-19 patients residing in respiratory care units in Baghdad, Iraq
-	Safety and Efficacy of the combined use of ivermectin, dexamethasone, enoxaparin and aspirin against COVID-19
-	Early viral clearance among COVID-19 patients when gargling with Povidone-iodine and essential oils – a clinical trial
-	The Effect of Early Hydroxychloroquine-based Therapy in COVID-19 Patients in Ambulatory Care Settings: A Nationwide Prospective Cohort Study
33349815	Hydroxychloroquine for prevention of COVID-19 mortality: a population-based cohort study
33615173	Treatment with an Anti-CK2 Synthetic Peptide Improves Clinical Response in Covid-19 Patients with Pneumonia. A Randomized and Controlled Clinical Trial.
32910830	Role of Drugs used for chronic disease management on Susceptibility and Severity of COVID-19: A Large Case-Control Study
-	Characterization and Phase 1 Trial of a B Cell Activating Anti-CD73 Antibody for the Immunotherapy of COVID-19
-	The link between vitamin D deficiency and Covid-19 in a large population
-	"Beneficial and Harmful Outcomes of Tocilizumab in Severe COVID-19:A Systematic Review and Meta-Analysis"
-	Addition of Tocilizumab to the standard of care reduces mortality in severe COVID-19: A systematic review and meta-analysis
-	Evidence favouring the efficacy of convalescent plasma for COVID-19 therapy
33093056	Convalescent plasma in the management of moderate COVID-19 in India: An open-label parallel-arm phase II multicentre randomized controlled trial (PLACID Trial)
35862475	Convalescent plasma as potential therapy for severe COVID-19 pneumonia
33728141	Effect of Renin-Angiotensin-Aldosterone System inhibitors on outcomes of COVID-19 patients with hypertension: Systematic review and Meta-analysis
-	COVID-19 mortality risk factors in older people in a long-term care center
-	Hydroxychloroquine is Effective and Safe for the Treatment of COVID-19, and May be Universally Effective When Used Early Before Hospitalization: A Systematic Review
-	Lack of protective effect of chloroquine derivatives on COVID-19 disease in a Spanish sample of chronically treated patients
-	Hydroxicloroquine for pre-exposure prophylaxis for SARS-CoV-2
35791663	Positive association of Angiotensin II Receptor Blockers, not Angiotensin-Converting Enzyme Inhibitors, with an increased vulnerability to SARS-CoV-2 infection in patients hospitalized for suspected COVID-19 pneumonia
32817978	Effect of Convalescent Plasma on Mortality among Hospitalized Patients with COVID-19: Initial Three Month Experience
35780813	Convalescent Plasma for COVID-19: A multicenter, randomized clinical trial
33483491	A COVID-19 vaccine candidate 1 using SpyCatcher multimerization of the SARS-CoV-2 spike protein receptor-binding domain induces potent neutralising antibody responses
-	Immune response to vaccine candidates based on different types of nanoscaffolded RBD domain of the SARS-CoV-2 spike protein
34487721	Evaluation of the current therapeutic approaches for COVID-19: a meta-analysis
33446136	Hydroxychloroquine in the treatment of outpatients with mildly symptomatic COVID-19: A multi-center observational study
32839784	RNA-Based COVID-19 Vaccine BNT162b2 Selected for a Pivotal Efficacy Study
-	An effective, safe and cost-effective cell-based chimeric vaccine against SARS-CoV2
-	Pleiotropic effect of Lactoferrin in the prevention and treatment of COVID-19 infection: randomized clinical trial, in vitro and in silico preliminary evidences
33015643	Anti-C5a antibody (IFX-1) treatment of severe Covid-19: an exploratory phase 2 randomized controlled trial
-	OpenSAFELY: Do adults prescribed Non-steroidal anti-inflammatory drugs have an increased risk of death from COVID-19?
33068758	Outcomes of Persons With COVID-19 in Hospitals With and Without Standard Treatment With (Hydroxy)chloroquine
-	Pharmacological inhibition of the kinin-kallikrein system in severe COVID-19 A proof-of-concept study
-	Aprepitant as a combinant with Dexamethasone reduces the inflammation via Neurokinin 1 Receptor Antagonism in severe to critical Covid-19 patients and potentiates respiratory recovery: A novel therapeutic approach
-	Time to negative PCR from symptom onset in COVID-19 patients on Hydroxychloroquine and Azithromycin - A real world experience
-	Telmisartan for treatment of Covid-19 patients: an open randomized clinical trial. Preliminary report
-	Beneficial effects of colchicine for moderate to severe COVID-19: an interim analysis of a randomized, double-blinded, placebo controlled clinical trial
33430799	Janus Kinase-Inhibitor and Type I Interferon Ability to Produce Favorable Clinical Outcomes in COVID-19 Patients: A Systematic Review and Meta-Analysis
34403297	Effectiveness of booster BCG vaccination in preventing Covid-19 infection
-	Immunogenicity and Safety of a SARS-CoV-2 Inactivated Vaccine in Healthy Adults Aged 18-59 years: Report of the Randomized, Double-blind, and Placebo-controlled Phase 2 Clinical Trial
-	Avoiding COVID-19 complications with diabetic patients could be achieved by multi-dose Bacillus Calmette–Guérin vaccine: A case study of beta cells regeneration by serendipity
-	First-in-Human Trial of a SARS CoV 2 Recombinant Spike Protein Nanoparticle Vaccine
33337933	Therapeutic effectiveness of interferon alpha 2b treatment for COVID-19 patient recovery
33210302	COVIDOSE: Low-dose tocilizumab in the treatment of Covid-19
-	Prophylaxis with tetracyclines in ARDS: Potential therapy for COVID-19-induced ARDS?
30318081	Effect and safety of combination of interferon alpha-2b and gamma or interferon alpha-2b for negativization of SARS-CoV-2 viral RNA
33547300	Efficacy and tolerability of bevacizumab 2 in patients with severe Covid -19
33835886	Use of a humanized anti-CD6 monoclonal antibody (itolizumab) in elderly patients with moderate COVID-19
-	Intravenous immunoglobulin (IVIG) significantly reduces respiratory morbidity in COVID-19 pneumonia: a prospective randomized trial
33289973	A Cluster-Randomized Trial of Hydroxychloroquine as Prevention of Covid-19 Transmission and Disease
-	Corticosteroid Use in Severely Hypoxemic COVID-19 Patients: An Observational Cohort Analysis of Dosing Patterns and Outcomes in the Early Phase of the Pandemic
-	A meta-review of systematic reviews and an updated metaanalysis on the efficacy of chloroquine and hydroxychloroquine in treating COVID19 infection
-	Resveratrol and Copper for treatment of severe COVID-19: an observational study (RESCU 002)
32717066	Association between NSAIDs use and adverse clinical outcomes among adults hospitalised with COVID-19 in South Korea: A nationwide study
35453198	Effectiveness and Safety of Chloroquine or hydroxychloroquine as a mono-therapy or in combination with Azithromycin in the treatment of COVID-19 patients: Systematic Review and Meta-Analysis
-	COVID-19 Severity in Europe and the USA: Could the Seasonal Influenza Vaccination Play a Role?
-	Concurrent human antibody and TH1 type T-cell responses elicited by a COVID-19 RNA vaccine
-	Renin-Angiotensin-Aldosterone-System inhibitor use in patients with COVID-19 infection and prevention of serious events: a cohort study in commercially insured patients in the US
-	ISARIC Clinical Data Report 8 June 2020
-	Clinical and laboratory evaluation of patients with SARS-CoV-2 pneumonia treated with high-titer convalescent plasma: a prospective study
32960899	Second Week Methyl-Prednisolone Pulses Improve Prognosis In Patients With Severe Coronavirus Disease 2019 Pneumonia: An Observational Comparative Study Using Routine Care Data.
-	Observational Study of the Efficiency of Treatments in Patients Hospitalized with Covid-19 in Madrid
35685498	Adjunctive Corticosteroids for COVID-19: A Retrospective Cohort Study
34364870	Do low TB prevalence or lack of BCG Vaccination Contribute to Emergence Multisystem Inflammatory Syndrome?
-	Effects of Tocilizumab in Critically Ill Patients With COVID-19: A Quasi-Experimental Study
-	Effect of Hydroxychloroquine in Hospitalized Patients with COVID-19: Preliminary results from a multi-centre, randomized, controlled trial
-	Treatment response to hydroxychloroquine and antibiotics for mild to moderate COVID-19: a retrospective cohort study from South Korea
-	A Multicenter, randomized, open-label, controlled trial to evaluate the efficacy and tolerability of hydroxychloroquine and a retrospective study in adult patients with mild to moderate coronavirus disease 2019 (COVID-19)
33123544	Addition of Tocilizumab to standard of care reduces mortality in severe COVID-19: A systematic review and meta-analysis
-	Baricitinib as rescue therapy in a patient with COVID-19 with no complete response to sarilumab
-	Association between angiotensin-converting enzyme inhibitors and angiotensin II 2 receptor blockers use and the risk of infection and clinical outcome of COVID-19: a 3 comprehensive systematic review and meta-analysis
35083229	Mortality and use of angiotensin converting enzyme inhibitors in Covid 19 disease – a systematic review
32641296	Effect of Systemic Inflammatory Response to SARS-CoV-2 on Lopinavir and Hydroxychloroquine Plasma Concentrations
35126577	COVID-19 in Iran, a comprehensive investigation from exposure to treatment outcomes
33721102	Strong Correlation Between Prevalence of Severe Vitamin D Deficiency and Population Mortality Rate from COVID-19 in Europe
-	Doxycycline and Hydroxychloroquine as Treatment for High-Risk COVID-19 Patients: Experience from Case Series of 54 Patients in Long-Term Care Facilities
35905465	Hydroxychloroquine with or without azithromycin and in-hospital mortality or discharge in patients hospitalized for COVID-19 infection: a cohort study of 4,642 in-patients in France
34099745	Hydroxychloroquine and mortality risk of patients with COVID-19: a systematic review and meta-analysis of human comparative studies
32448345	Efficacy and Safety of Remdesivir for COVID-19 Treatment: An Analysis of Randomized, Double-Blind, Placebo-Controlled Trials
-	Real-world Experience with Favipiravir for Treatment of COVID-19 in Thailand: Results from a Multicenter Observational Study
33513195	Hydroxychloroquine has no effect on SARS-CoV-2 load in nasopharynx of patients with mild form of COVID-19
-	Early Hydroxychloroquine Is Associated with an Increase of Survival in COVID-19 Patients: An Observational Study
-	Azithromycin and Hydroxychloroquine Accelerate Recovery of Outpatients with Mild/Moderate COVID-19
35780813	Convalescent Plasma for COVID-19. A randomized clinical trial
32587983	First Clinical Use of Lenzilumab to Neutralize GM-CSF in Patients with Severe COVID-19 Pneumonia
-	Phase 1/2 Study to Describe the Safety and Immunogenicity of a COVID-19 RNA Vaccine Candidate (BNT162b1) in Adults 18 to 55 Years of Age: Interim Report
35814322	Chronic treatment with hydroxychloroquine and SARS-CoV-2 infection
-	ICON (Ivermectin in COvid Nineteen) study: Use of Ivermectin is Associated with Lower Mortality in Hospitalized Patients with COVID19
35838894	Influenza Vaccination and COVID19 Mortality in the USA
32577681	The Association Between the Rate of Angiotensin-Converting Enzyme Inhibitors and Angiotensin Receptor Blockers Use and the Number of Covid-19 Confirmed Cases and Deaths in the United States: Geospatial Study
32587982	Renin-angiotensin system blockers and susceptibility to COVID-19: a multinational open science cohort study
-	Hospitalized COVID-19 patients treated with Convalescent Plasma in a mid-size city in the midwest
35287602	Prolonged low-dose methylprednisolone in patients with severe COVID-19 pneumonia
35721667	Tocilizumab for treatment of mechanically ventilated patients with COVID-19
34326020	Observational Study of Metformin and Risk of Mortality in Persons Hospitalized with Covid-19
32690491	Effect of Dexamethasone in Hospitalized Patients with COVID-19: Preliminary Report
34854415	Pre exposure Hydroxychloroquine Prophylaxis for COVID-19 in healthcare workers: a retrospective cohort
32566564	Effectiveness and safety of glucocorticoids to treat COVID-19: a rapid review and meta-analysis
35903922	Chloroquine, but not hydroxychlorquine, prolongs the QT interval in a primary care population.
33447849	Outcomes in Patients with Severe COVID-19 Disease Treated with Tocilizumab – A Case- Controlled Study.
35848412	Efficacy and safety of chloroquine or hydroxychloroquine in moderate type of COVID-19: a prospective open-label randomized controlled study.
35815763	Clozapine treatment and risk of COVID-19.
35139366	Effect of hydroxychloroquine on SARS-CoV-2 viral load in patients with COVID-19.
34837230	Efficacy and Safety of Lopinavir/Ritonavir for Treatment of COVID-19: A Systematic Review and Meta-Analysis.
33534047	GLUCOCOVID: A controlled trial of methylprednisolone in adults hospitalized with COVID-19 pneumonia.
35677110	Remdesivir Efficacy in Coronavirus Disease 2019 (COVID-19): A Systematic Review.
-	Compassionate Use of Tocilizumab in Severe SARS-CoV2 Pneumonia. When late administration is too late.
-	Explore the Possible Impact of BCG Vaccination Policy on the Morbidity, Mortality, and Recovery Rates due to COVID-19 Infection.
32617169	Hydroxychloroquine-Induced Stevens-Johnson Syndrome in COVID-19: A rare Case Report.
-	A 78-year Old Urothelial Cancer Patient with Faster Recovery from COVID-19: Potential Benefit from Adjuvant Active Immunotherapy.
35083229	Mortality and use of angiotensin converting enzyme inhibitors in Covid 19 disease – a systematic review.
35531306	Effect of tocilizumab in hospitalized patients with severe pneumonia COVID-19: a cohort study.
32960147	Therapeutic effectiveness of interferon-alpha 2b against COVID-19: the Cuban experience.
34597766	Effects of Tocilizumab on Mortality in Hospitalized Patients with COVID-19: A Multicenter Cohort Study.
32898149	Adverse outcomes and mortality in users of non-steroidal anti-inflammatory drugs tested positive for SARS-CoV-2: a danish nationwide cohort study.
32918792	Tocilizumab as a Therapeutic Agent for Critically Ill Patients Infected with SARS-CoV-2.
35868492	Association of Vitamin D Deficiency and Treatment with COVID-19 Incidence.
-	Tobaiqy M, Helmi N, Majrashi M, Majrashi M, Al-Dahery S, Mujallad A. COVID-19 therapeutics outcome: systematic review and data analysis. Research Square. 2020. Disponível em: https://doi.org/10.21203/rs.3.rs-33391/v1
33154723	Assessment of Hydroxychloroquine and Chloroquine Safety Profiles – A Systematic Review and Meta-Analysis.
-	Association of Renin-Angiotensin-Aldosterone System Inhibition with Risk of COVID-19, Inflammation Level, Severity and Death in Patients With COVID-19: A Rapid Systematic Review and Meta-Analysis.
35894609	Association Between ACEIs or ARBs Use and Clinical Outcomes in COVID-19 Patients: A Systematic Review and Meta-analysis.
-	A shred of evidence that BCG vaccine may protect against COVID-19: Comparing cohorts in Spain and Italy.
35205852	Tocilizumab is associated with reduced risk of ICU admission and mortality in patients with SARS-CoV-2 infection.
-	Association of Bacille Calmette-Guérin (BCG), Adult Pneumococcal and Adult Seasonal Influenza Vaccines with Covid-19 Adjusted Mortality Rates in Level 4 European countries.
-	Ozone therapy for patients with SARS-COV-2 pneumonia: a single-center prospective cohort study.
-	Efficacy and Safety of Leflunomide for Refractory COVID-19: An Open-label Controlled Study.
34308390	A SYSTEMATIC ANALYSIS OF THE TIME COURSE TO DEVELOP TREATMENTS FOR COVID-19.
-	Rapid systematic review on clinical evidence of chloroquine and hydroxychloroquine in COVID-19: critical assessment and recommendation for future clinical trials.
33230045	"Plasma concentration and safety of lopinavir/ritonavir in patients with Covid-19: a 2 retrospective cohort study"
33068263	Impact of glucocorticoid treatment in Sars-CoV-2 infection mortality: a retrospective controlled Cohort Study
34733538	Renin-angiotensin-aldosterone system inhibitors and mortality in patients with hypertension hospitalized for COVID19: systematic review &meta-analysis
32810285	Effect of various treatment modalities on the novel coronavirus (nCOV-2019) infection in humans: a systematic review & meta-analysis
35663303	Use of inhibitors of the renin angiotensin system and COVID-19 prognosis: a systematic review and meta-analysis
34859557	Hydroxychloroquine and Tocilizumab Therapy in COVID-19 Patients - An Observational Study
32763496	Comorbidities, clinical signs and symptoms, laboratory findings, imaging features, treatment strategies, and outcomes in adult and pediatric patients with COVID-19: A systematic review and meta-analysis
35665014	A Systematic Review and Meta-analysis of Therapeutic options against SARS-CoV-2
32731258	ChAdOx1 nCoV-19 vaccination prevents SARS-CoV-2 pneumonia in rhesus macaques
35905973	Cancer immunotherapy does not increase the risk of death by COVID-19 in melanoma patients
32993479	Nebulized in-line endotracheal dornase alfa and albuterol administered to mechanically 2 ventilated COVID-19 patients: A case series
-	Treatment Response to Hydroxychloroquine, Lopinavir–Ritonavir, and Antibiotics for Moderate COVID-19: A First Report on the Pharmacological Outcomes from South Korea
-	Hydroxychloroquine and azithromycin plus zinc vs hydroxychloroquine and azithromycin alone: outcomes in hospitalized COVID-19 patients
-	Off-Label Real World Experience Using Tocilizumab for Patients Hospitalized with COVID-19 Disease in a Regional Community Health System: A Case-Control Study
35667745	Sarilumab use in severe SARS-CoV-2 pneumonia
35832701	Hydroxychloroquine in COVID-19: A systematic review and meta-analysis
