,titulo,resumo,resumo_traduzido,revista,data,qualis,H-index,doi,pro,contra,indefinido,resultados
15,A Phase 1: Safety and Immunogenicity Trial of an Inactivated SARS-CoV-2 Vaccine-BBV152.,"Safe and effective vaccines against SARS-CoV-2 for children are urgently needed. Here we aimed to assess the safety and immunogenicity of an inactivated COVID-19 vaccine candidate, WIBP-CorV, in participants aged 3-17 years. A randomized, double-blind, placebo-controlled, phase 1/2 clinical trial was conducted in Henan Province, China, in healthy children aged 3-17 years. 240 participants in phase 1 trial and 576 participants in phase 2 trial were randomly assigned to vaccine or control with an age de-escalation in three cohorts (3-5, 6-12 and 13-17 years) and dose-escalation in three groups (2.5, 5.0 and 10.0μg/dose), and received 3 intramuscular injections at day 0, 28, and 56. WIBP-CorV showed a promising safety profile with approximately 17% adverse reactions within 30 days after injection and no grade 3 or worse adverse events. The most common adverse reaction was injection site pain, followed by fever, which were mild and self-limiting. The geometric mean titers of neutralizing antibody ranged from 102.2 to 1065.5 in vaccinated participants at 28 days after the third vaccination, and maintained at a range of 14.3 to 218.2 at day 180 after the third vaccination. WIBP-CorV elicited significantly higher titers of neutralizing antibody in the cohort aged 3-5 years than the other two cohorts. There were no detectable antibody responses in all alum-only groups. Taken together, our data demonstrate that WIBP-CorV is safe and well tolerated at all tested doses in participants aged 3-17 years, and elicited robust humoral responses against SARS-CoV-2 lasted for at least 6 months after the third vaccination. This study is ongoing and is registered with www.chictr.org.cn, ChiCTR2000031809.",-,-,_,-,_,10.1101/2020.12.11.20210419,['vaccine'],,,-
16,Early initiation of prophylactic anticoagulation for prevention of COVID-19 mortality: a nationwide cohort study of hospitalized patients in the United States.,Early initiation of prophylactic anticoagulation compared with no anticoagulation among patients admitted to hospital with covid-19 was associated with a decreased risk of 30 day mortality and no increased risk of serious bleeding events. These findings provide strong real world evidence to support guidelines recommending the use of prophylactic anticoagulation as initial treatment for patients with covid-19 on hospital admission.,-,-,_,-,_,10.1101/2020.12.09.20246579,,,,-
17,,,,,,,,,,,,
18,,,,,,,,,,,,
19,,,,,,,,,,,,
20,,,,,,,,,,,,
21,,,,,,,,,,,,
22,Interventions for treatment of COVID-19: second edition of a living systematic review with meta-analyses and trial sequential analyses (The LIVING Project),PROSPERO CRD42020178787.,-,-,_,-,_,10.1101/2020.11.22.20236448,,,,-
23,,,,,,,,,,,,
24,,,,,,,,,,,,
25,,,,,,,,,,,,
26,Clinical Efficacy of Eucaloric Ketogenic Nutrition in the COVID-19 Cytokine Storm: a Retrospective Analysis of Mortality and ICU Admission.,"These results show a possible therapeutic role of an EKD in the clinical management of COVID-19. Currently, a prospective controlled randomized trial is running to confirm these preliminary data.",-,-,_,-,_,https://www.researchsquare.com/article/rs-103541/v2,,,,-
27,The efficacy and safety of hydroxychloroquine in COVID19 patients: a multicenter national retrospective cohort.,"Our results showed no significant beneficial effect of using hydroxychloroquine on the outcome of patients with COVID-19. Moreover, the risk of hypoglycemia due to hydroxychloroquine would possess a significant risk for out-of-hospital use.",-,-,_,-,_,10.1101/2020.11.25.20234914,,['hydroxychloroquine'],,-
28,,,,,,,,,,,,
29,,,,,,,,,,,,
30,,,,,,,,,,,,
31,,,,,,,,,,,,
32,,,,,,,,,,,,
33,,,,,,,,,,,,
34,,,,,,,,,,,,
35,,,,,,,,,,,,
36,,,,,,,,,,,,
37,,,,,,,,,,,,
38,,,,,,,,,,,,
39,,,,,,,,,,,,
40,,,,,,,,,,,,
41,,,,,,,,,,,,
42,,,,,,,,,,,,
43,,,,,,,,,,,,
44,,,,,,,,,,,,
45,,,,,,,,,,,,
46,,,,,,,,,,,,
47,,,,,,,,,,,,
48,Role of ivermectin in the prevention of COVID-19 infection among healthcare workers in India: A matched case-control study,Two-dose ivermectin prophylaxis at a dose of 300 μg/kg with a gap of 72 hours was associated with a 73% reduction of SARS-CoV-2 infection among healthcare workers for the following month. Chemoprophylaxis has relevance in the containment of pandemic.,-,-,_,-,_,10.1101/2020.10.29.20222661,,,['ivermectin'],-
49,,,,,,,,,,,,
50,,,,,,,,,,,,
51,,,,,,,,,,,,
52,,,,,,,,,,,,
53,The Role of Vitamin D in The Age of COVID-19: A Systematic Review and Meta-Analysis,"This study found that most of the COVID-19 patients were suffering from vitamin D deficiency/insufficiency. Also, there is about three times higher chance of getting infected with SARS-CoV-2 among vitamin-D-deficient individuals and about five times higher probability of developing the severe disease in vitamin-D-deficient patients. Vitamin D deficiency showed no significant association with mortality rates in this population.",-,-,_,-,_,10.1101/2020.06.05.20123554,,,,-
54,,,,,,,,,,,,
55,,,,,,,,,,,,
56,"Safety, Tolerability, and Immunogenicity of COVID-19 Vaccines: A Systematic Review and Meta-Analysis","We aimed to summarize reliable medical evidence by the meta-analysis of all published clinical trials that investigated the safety, tolerability, and immunogenicity of vaccine candidates against coronavirus disease 2019 (COVID-19), caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The PubMed, Cochrane Library, EMBASE, and medRxiv databases were used to select the studies. 7094 articles were identified initially and 43 were retrieved for more detailed evaluation. 5 randomized, double-blind, placebo-controlled trials were selected. A total of 1604 subjects with either vaccines or placebo infections were included in the meta-analysis within the scope of these articles. According to the results, there is an increase in total adverse events for subjects with either low (95% ",-,-,_,-,_,10.1101/2020.11.03.20224998,['vaccine'],,,-
57,Pilot Trial of High-dose vitamin C in critically ill COVID-19 patients,"This pilot trial showed that HDIVC failed to improve IMVFD28, but might show a potential signal of benefit in oxygenation for critically ill patients with COVID-19 improving PaO2/FiO2 even though.",-,-,_,-,_,10.21203/rs.3.rs-52778/v2,,,,-
58,,,,,,,,,,,,
59,,,,,,,,,,,,
60,,,,,,,,,,,,
61,,,,,,,,,,,,
62,,,,,,,,,,,,
63,,,,,,,,,,,,
64,Dexamethasone use and Mortality in Hospitalized Patients with Coronavirus Disease 2019: a Multicenter Retrospective Observational Study,"In this multicentre observational study, dexamethasone use administered either orally or by intravenous injection at a cumulative dose between 60 mg and 150 mg was associated with reduced mortality among patients with COVID-19 requiring respiratory support.",-,-,_,-,_,10.1101/2020.10.23.20218172,['dexamethasone'],,,-
65,,,,,,,,,,,,
66,,,,,,,,,,,,
67,,,,,,,,,,,,
68,,,,,,,,,,,,
69,,,,,,,,,,,,
70,,,,,,,,,,,,
71,,,,,,,,,,,,
72,,,,,,,,,,,,
73,,,,,,,,,,,,
74,CLINICAL COURSE AND OUTCOME OF COVID-19 ACUTE RESPIRATORY DISTRESS SYNDROME: DATA FROM A NATIONAL REPOSITORY,"Among those hospitalized for COVID-19, nearly 1 in 10 progressed to ARDS. Septic shock, and acute renal failure are the leading causes of death in these patients. Treatment with either remdesivir and corticosteroids reduced the risk of mortality from ARDS. All hospitalized patients with COVID-19 should be placed at a minimum on prophylactic doses of anticoagulation.",-,-,_,-,_,10.1101/2020.10.16.20214130,,['remdesivir'],,-
75,Tocilizumab in Treatment of Severe COVID-19 Patients: A Systematic Review and Meta-Analysis of Cohort Studies,"Based on cumulative low-to-moderate certainty evidence shows that TCZ could reduce the risk of mortality in hospitalised patients. However, there is no statistically significant difference observed between the TCZ and SOC/control groups in other parameters.",-,-,_,-,_,10.22541/au.160071232.27950965,,['tocilizumab'],,-
76,,,,,,,,,,,,
77,,,,,,,,,,,,
78,,,,,,,,,,,,
79,,,,,,,,,,,,
80,,,,,,,,,,,,
81,,,,,,,,,,,,
82,,,,,,,,,,,,
83,Comparison of Efficacy of Dexamethasone and Methylprednisolone in Improving the Partial Pressure of Arterial Oxygen and Fraction of Inspired Oxygen Ratio among COVID-19,"Introduction Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is the reason for the global pandemic that started from Wuhan, China, in December 2019, known as coronavirus diseases 2019 (COVID-19). Acute respiratory distress syndrome happened in COVID-19 not just because of uncontrolled viral replication but also because of an uncontrolled immune reaction from the host. That's why antiviral and anti-inflammatory treatments have become an increasing concern for clinicians. Methods A retrospective quasi-experimental study design was used to assess the effectiveness of methylprednisolone and dexamethasone in the improvement of PaO",-,-,_,-,_,10.1101/2020.10.06.20171579,"['dexamethasone', 'methylprednisolone', 'oxygen']",,,-
84,,,,,,,,,,,,
85,,,,,,,,,,,,
86,Low-density lipoprotein cholesterol levels are associated with poor clinical outcomes in COVID-19,"Hypolipidemia in SARS-CoV-2 infection may be secondary to an immune-inflammatory response, with complete recovery in survivors. Low LDL-c serum levels are independently associated with higher 30-day mortality in COVID-19 patients.",-,-,_,-,_,10.1101/2020.10.06.20207092,,,,-
87,,,,,,,,,,,,
88,Systematic review and patient-level meta-analysis of SARS-CoV-2 viral dynamics to model response to antiviral therapies,"Severe acute respiratory syndrome-coronavirus 2 (SARS-CoV-2) viral loads change rapidly following symptom onset, so to assess antivirals it is important to understand the natural history and patient factors influencing this. We undertook an individual patient-level meta-analysis of SARS-CoV-2 viral dynamics in humans to describe viral dynamics and estimate the effects of antivirals used to date. This systematic review identified case reports, case series, and clinical trial data from publications between January 1, 2020, and May 31, 2020, following Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines. A multivariable Cox proportional hazards (Cox-PH) regression model of time to viral clearance was fitted to respiratory and stool samples. A simplified four parameter nonlinear mixed-effects (NLME) model was fitted to viral load trajectories in all sampling sites and covariate modeling of respiratory viral dynamics was performed to quantify time-dependent drug effects. Patient-level data from 645 individuals (age 1 month to 100 years) with 6,316 viral loads were extracted. Model-based simulations of viral load trajectories in samples from the upper and lower respiratory tract, stool, blood, urine, ocular secretions, and breast milk were generated. Cox-PH modeling showed longer time to viral clearance in older patients, men, and those with more severe disease. Remdesivir was associated with faster viral clearance (adjusted hazard ratio (AHR) = 9.19, P < 0.001), as well as interferon, particularly when combined with ribavirin (AHR = 2.2, P = 0.015; AHR = 6.04, P = 0.006). Combination therapy should be further investigated. A viral dynamic dataset and NLME model for designing and analyzing antiviral trials has been established.",-,-,_,-,_,10.1101/2020.08.20.20178699,['ribavirin'],,['remdesivir'],-
89,,,,,,,,,,,,
90,,,,,,,,,,,,
91,,,,,,,,,,,,
92,,,,,,,,,,,,
93,,,,,,,,,,,,
94,,,,,,,,,,,,
95,,,,,,,,,,,,
96,,,,,,,,,,,,
97,,,,,,,,,,,,
98,,,,,,,,,,,,
99,,,,,,,,,,,,
100,,,,,,,,,,,,
101,,,,,,,,,,,,
102,,,,,,,,,,,,
103,,,,,,,,,,,,
104,,,,,,,,,,,,
105,,,,,,,,,,,,
106,,,,,,,,,,,,
107,,,,,,,,,,,,
108,,,,,,,,,,,,
109,,,,,,,,,,,,
110,,,,,,,,,,,,
111,,,,,,,,,,,,
112,Early Anti-SARS-CoV-2 Convalescent Plasma in Patients Admitted for COVID-19: A Randomized Phase II Clinical Trial,NCT04375098.,-,-,_,-,_,10.1101/2020.09.17.20196212,,,,-
113,,,,,,,,,,,,
114,,,,,,,,,,,,
115,,,,,,,,,,,,
116,,,,,,,,,,,,
117,Comparative Effectiveness of Famotidine in Hospitalized COVID-19 Patients,We found no evidence of a reduced risk of COVID-19 outcomes among hospitalized COVID-19 patients who used famotidine compared with those who did not or compared with PPI or hydroxychloroquine users.,-,-,_,-,_,10.1101/2020.09.23.20199463,,"['famotidine', 'hydroxychloroquine']",,-
118,Mortality outcomes with hydroxychloroquine and chloroquine in COVID-19: an international collaborative meta-analysis of randomized trials.,We found no evidence of a reduced risk of COVID-19 outcomes among hospitalized COVID-19 patients who used famotidine compared with those who did not or compared with PPI or hydroxychloroquine users.,-,-,_,-,_,10.1101/2020.09.16.20194571,,"['hydroxychloroquine', 'famotidine']",['chloroquine'],-
119,"Clinical Outcomes and Plasma Concentrations 1 of Baloxavir Marboxil and Favipiravir in COVID-19 Patients: An Exploratory Randomized, Controlled Trial",Our findings could not prove a benefit of addition of either baloxavir marboxil or favipiravir under the trial dosages to the existing standard treatment.,-,-,_,-,_,10.1101/2020.04.29.20085761,,,,-
120,,,,,,,,,,,,
121,"Combination of Tocilizumab and steroids to improve mortality in patients with severe COVID-19 infection: A spanish, multicenter, cohorty study",There is no benefit of the addition of lopinavir-ritonavir to the standard care in COVID-19 patients.,-,-,_,-,_,10.1101/2020.09.07.20189357,['tocilizumab'],,,-
122,,,,,,,,,,,,
123,,,,,,,,,,,,
124,,,,,,,,,,,,
125,,,,,,,,,,,,
126,,,,,,,,,,,,
127,Hydroxychloroquine for prevention of COVID-19 mortality: a population-based cohort study,Medical Research Council.,-,-,_,-,_,10.1101/2020.09.04.20187781,,,['hydroxychloroquine'],-
128,Treatment with an Anti-CK2 Synthetic Peptide Improves Clinical Response in Covid-19 Patients with Pneumonia. A Randomized and Controlled Clinical Trial.,The instrumental role of CK2 in the SARS-CoV-2 infection has pointed out this protein kinase as promising therapeutic target in COVID-19. Anti-SARS-CoV-2 activity has been reported by CK2 inhibitors ,-,-,_,-,_,10.1101/2020.09.03.20187112,,,,-
129,Role of Drugs used for chronic disease management on Susceptibility and Severity of COVID-19: A Large Case-Control Study,"This study aimed to investigate whether specific medications used in the treatment chronic diseases affected either the development and/ or severity of coronavirus disease 2019 (COVID-19) in a cohort of 610 COVID-19 cases and 48,667 population-based controls from Zhejiang, China. Using a cohort of 578 COVID-19 cases and 48,667 population-based controls from Zhejiang, China, we tested the role of usage of cardiovascular, antidiabetic, and other medications on risk and severity of COVID-19. Analyses were adjusted for age, sex, and body mass index and for presence of relevant comorbidities. Individuals with hypertension taking calcium channel blockers had significantly increased risk (odds ratio (OR) = 1.73, 95% confidence interval (CI) 1.2-2.3) of manifesting symptoms of COVID-19, whereas those taking angiotensin receptor blockers and diuretics had significantly lower disease risk (OR = 0.22, 95% CI 0.15-0.30 and OR = 0.30, 95% CI 0.19-0.58, respectively). Among those with type 2 diabetes, dipeptidyl peptidase-4 inhibitors (OR = 6.02, 95% CI 2.3-15.5) and insulin (OR = 2.71, 95% CI 1.6-5.5) were more and glucosidase inhibitors were less prevalent (OR = 0.11, 95% CI 0.1-0.3) among with patients with COVID-19. Drugs used in the treatment of hypertension and diabetes influence the risk of development of COVID-19, but, not its severity.",-,-,_,-,_,10.1101/2020.04.24.20077875v2,,,['calcium'],-
130,,,,,,,,,,,,
131,,,,,,,,,,,,
132,,,,,,,,,,,,
133,,,,,,,,,,,,
134,,,,,,,,,,,,
135,Convalescent plasma in the management of moderate COVID-19 in India: An open-label parallel-arm phase II multicentre randomized controlled trial (PLACID Trial),Clinical Trial Registry of India CTRI/2020/04/024775.,-,-,_,-,_,10.1101/2020.09.03.20187252,,,,-
136,,,,,,,,,,,,
137,,,,,,,,,,,,
138,,,,,,,,,,,,
139,,,,,,,,,,,,
140,,,,,,,,,,,,
141,,,,,,,,,,,,
142,,,,,,,,,,,,
143,Effect of Convalescent Plasma on Mortality among Hospitalized Patients with COVID-19: Initial Three Month Experience,ClinicalTrials.gov Identifier: NCT04338360.,-,-,_,-,_,10.1101/2020.08.12.20169359,,,,-
144,,,,,,,,,,,,
145,A COVID-19 vaccine candidate 1 using SpyCatcher multimerization of the SARS-CoV-2 spike protein receptor-binding domain induces potent neutralising antibody responses,"There is need for effective and affordable vaccines against SARS-CoV-2 to tackle the ongoing pandemic. In this study, we describe a protein nanoparticle vaccine against SARS-CoV-2. The vaccine is based on the display of coronavirus spike glycoprotein receptor-binding domain (RBD) on a synthetic virus-like particle (VLP) platform, SpyCatcher003-mi3, using SpyTag/SpyCatcher technology. Low doses of RBD-SpyVLP in a prime-boost regimen induce a strong neutralising antibody response in mice and pigs that is superior to convalescent human sera. We evaluate antibody quality using ACE2 blocking and neutralisation of cell infection by pseudovirus or wild-type SARS-CoV-2. Using competition assays with a monoclonal antibody panel, we show that RBD-SpyVLP induces a polyclonal antibody response that recognises key epitopes on the RBD, reducing the likelihood of selecting neutralisation-escape mutants. Moreover, RBD-SpyVLP is thermostable and can be lyophilised without losing immunogenicity, to facilitate global distribution and reduce cold-chain dependence. The data suggests that RBD-SpyVLP provides strong potential to address clinical and logistic challenges of the COVID-19 pandemic.",-,-,_,-,_,10.1101/2020.08.31.275701,['vaccine'],,,-
146,,,,,,,,,,,,
147,,,,,,,,,,,,
148,Hydroxychloroquine in the treatment of outpatients with mildly symptomatic COVID-19: A multi-center observational study,In this retrospective observational study of SARS-CoV-2 infected non-hospitalized patients hydroxychloroquine exposure was associated with a decreased rate of subsequent hospitalization. Additional exploration of hydroxychloroquine in this mildly symptomatic outpatient population is warranted.,-,-,_,-,_,10.1101/2020.08.20.20178772,,['hydroxychloroquine'],,-
149,RNA-Based COVID-19 Vaccine BNT162b2 Selected for a Pivotal Efficacy Study,"These results support selection of the BNT162b2 vaccine candidate for Phase 2/3 large-scale safety and efficacy evaluation, currently underway.",-,-,_,-,_,10.1101/2020.08.17.20176651,['vaccine'],,,-
150,,,,,,,,,,,,
151,,,,,,,,,,,,
152,,,,,,,,,,,,
153,,,,,,,,,,,,
154,Outcomes of Persons With COVID-19 in Hospitals With and Without Standard Treatment With (Hydroxy)chloroquine,"After adjustment for confounders, mortality was not significantly different in hospitals that routinely treated patients with (hydroxy)chloroquine compared with hospitals that did not. We compared outcomes of hospital strategies rather than outcomes of individual patients to reduce the chance of indication bias. This study adds evidence against the use of (hydroxy)chloroquine in hospitalised patients with COVID-19.",-,-,_,-,_,10.1101/2020.08.14.20173369v1.article-info,,,,-
155,,,,,,,,,,,,
156,,,,,,,,,,,,
157,,,,,,,,,,,,
158,,,,,,,,,,,,
159,,,,,,,,,,,,
160,Janus Kinase-Inhibitor and Type I Interferon Ability to Produce Favorable Clinical Outcomes in COVID-19 Patients: A Systematic Review and Meta-Analysis,"Janus kinase-inhibitor treatment is significantly associated with positive clinical outcomes in terms of mortality, ICU admission, and discharge. Type I interferon treatment is associated with positive clinical outcomes in regard to mortality and discharge. While these data show promise, additional well-conducted RCTs are needed to further elucidate the relationship between clinical outcomes and Janus kinase-inhibitors and Type I interferons in COVID-19 patients.",-,-,_,-,_,http://medrxiv.org/content/early/2020/08/11/2020.08.10.20172189.abstract,,,,-
161,Effectiveness of booster BCG vaccination in preventing Covid-19 infection,"The evidence that BCG (bacille Calmette-Guerin) vaccine may increase the ability of the immune system to fight off pathogens other than tuberculosis has been studied in the past. This nonspecific immunity gained our interest, especially after initial reports of less cases in countries with universal BCG vaccination. In hopes of possible protective immunity, all staff of the Emirates International Hospital (United Arab Emirates) were offered a booster BCG vaccine in early March 2020. All the hospital staff were then tested for Covid-19 infection by the end of June 2020. We divided the subjects into two groups: booster vaccinated versus unvaccinated. The rate of Covid-19 infection was compared between the groups. Criteria included all staff who were offered the vaccine. Seventy-one subjects received the booster vaccination. This group had zero cases of positive COVID 19 infection. Two hundred nine subjects did not receive the vaccination, with 18 positive PCR confirmed COVID 19 cases. The infection rate in the unvaccinated group was 8.6% versus zero in the booster vaccinated group (Fisher's exact test ",-,-,_,-,_,10.1101/2020.08.10.20172288,['vaccine'],,,-
162,,,,,,,,,,,,
163,,,,,,,,,,,,
164,,,,,,,,,,,,
165,Therapeutic effectiveness of interferon alpha 2b treatment for COVID-19 patient recovery,"A previous report on 814 patients who were coronavirus disease 2019 (COVID-19) positive provided preliminary therapeutic efficacy evidence with interferon-α2b (IFN-α2b) in Cuba, from March 11 to April 14, 2020. This study re-evaluates the effectiveness of IFN-α2b during the period from March 11 to June 17, 2020. Patients received a combination of oral antivirals (lopinavir/ritonavir and chloroquine) with intramuscular or subcutaneous administration of IFN-α2b. The primary endpoint was the proportion of patients discharged from the hospital; the secondary endpoint was the case fatality rate, and several outcomes related to time variables were also evaluated. From March 11 to June 17, 2,295 patients had been confirmed to be severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) positive in Cuba, 2,165 were treated with Heberon",-,-,_,-,_,10.1101/2020.07.28.20157974,,,,-
166,COVIDOSE: Low-dose tocilizumab in the treatment of Covid-19,"Interleukin-6 (IL-6)-mediated hyperinflammation may contribute to the mortality of coronavirus disease 2019 (COVID-19). The IL-6 receptor-blocking monoclonal antibody tocilizumab has been repurposed for COVID-19, but prospective trials and dose-finding studies in COVID-19 have not yet fully reported. We conducted a single-arm phase II trial of low-dose tocilizumab in nonintubated hospitalized adult patients with COVID-19, radiographic pulmonary infiltrate, fever, and C-reactive protein (CRP) ≥ 40 mg/L. We hypothesized that doses significantly lower than the emerging standards of 400 mg or 8 mg/kg would resolve clinical and laboratory indicators of hyperinflammation. A dose range from 40 to 200 mg was evaluated, with allowance for one repeat dose at 24 to 48 hours. The primary objective was to assess the relationship of dose to fever resolution and CRP response. Thirty-two patients received low-dose tocilizumab, with the majority experiencing fever resolution (75%) and CRP decline consistent with IL-6 pathway abrogation (86%) in the 24-48 hours following drug administration. There was no evidence of a relationship between dose and fever resolution or CRP decline over the dose range of 40-200 mg. Within the 28-day follow-up, 5 (16%) patients died. For patients who recovered, median time to clinical recovery was 3 days (interquartile range, 2-5). Clinically presumed and/or cultured bacterial superinfections were reported in 5 (16%) patients. Low-dose tocilizumab was associated with rapid improvement in clinical and laboratory measures of hyperinflammation in hospitalized patients with COVID-19. Results of this trial provide rationale for a randomized, controlled trial of low-dose tocilizumab in COVID-19.",-,-,_,-,_,10.1101/2020.07.20.20157503,['tocilizumab'],,,-
167,,,,,,,,,,,,
168,,,,,,,,,,,,
169,,,,,,,,,,,,
170,,,,,,,,,,,,
171,,,,,,,,,,,,
172,A Cluster-Randomized Trial of Hydroxychloroquine as Prevention of Covid-19 Transmission and Disease,"Postexposure therapy with hydroxychloroquine did not prevent SARS-CoV-2 infection or symptomatic Covid-19 in healthy persons exposed to a PCR-positive case patient. (Funded by the crowdfunding campaign YoMeCorono and others; BCN-PEP-CoV2 ClinicalTrials.gov number, NCT04304053.).",-,-,_,-,_,10.1101/2020.07.20.20157651,['hydroxychloroquine'],,,-
173,,,,,,,,,,,,
174,,,,,,,,,,,,
175,,,,,,,,,,,,
176,Association between NSAIDs use and adverse clinical outcomes among adults hospitalised with COVID-19 in South Korea: A nationwide study,"While awaiting the results of confirmatory studies, we suggest NSAIDs be used with caution for COVID-19 patients as the harms associated with their use may outweigh their benefits.",-,-,_,-,_,http://medrxiv.org/content/early/2020/06/16/2020.06.01.20119768.abstract,,,,-
177,,,,,,,,,,,,
178,,,,,,,,,,,,
179,,,,,,,,,,,,
180,,,,,,,,,,,,
181,,,,,,,,,,,,
182,,,,,,,,,,,,
183,Second Week Methyl-Prednisolone Pulses Improve Prognosis In Patients With Severe Coronavirus Disease 2019 Pneumonia: An Observational Comparative Study Using Routine Care Data.,Week-2-MP are effective in improving the prognosis of patients with COVID-19 pneumonia with features of inflammatory activity and respiratory deterioration entering the second week of disease. The recognition of this high-risk population should prompt early use of MP at this point.,-,-,_,-,_,10.1101/2020.07.16.20152868,,,,-
184,,,,,,,,,,,,
185,,,,,,,,,,,,
186,,,,,,,,,,,,
187,,,,,,,,,,,,
188,,,,,,,,,,,,
189,,,,,,,,,,,,
190,,,,,,,,,,,,
191,,,,,,,,,,,,
192,,,,,,,,,,,,
193,,,,,,,,,,,,
194,,,,,,,,,,,,
195,Effect of Systemic Inflammatory Response to SARS-CoV-2 on Lopinavir and Hydroxychloroquine Plasma Concentrations,"Coronavirus disease 2019 (COVID-19) leads to inflammatory cytokine release, which can downregulate the expression of metabolizing enzymes. This cascade affects drug concentrations in the plasma. We investigated the association between lopinavir (LPV) and hydroxychloroquine (HCQ) plasma concentrations and the levels of the acute-phase inflammation marker C-reactive protein (CRP). LPV plasma concentrations in 92 patients hospitalized at our institution were prospectively collected. Lopinavir-ritonavir was administered every 12 hours, 800/200 mg on day 1 and 400/100 mg on day 2 until day 5 or 7. HCQ was given at 800 mg, followed by 400 mg after 6, 24, and 48 h. Hematological, liver, kidney, and inflammation laboratory values were analyzed on the day of drug level determination. The median age of study participants was 59 (range, 24 to 85) years, and 71% were male. The median durations from symptom onset to hospitalization and treatment initiation were 7 days (interquartile range [IQR], 4 to 10) and 8 days (IQR, 5 to 10), respectively. The median LPV trough concentration on day 3 of treatment was 26.5 μg/ml (IQR, 18.9 to 31.5). LPV plasma concentrations positively correlated with CRP values (",-,-,_,-,_,10.1101/2020.07.05.20146878,,,"['lopinavir', 'hydroxychloroquine']",-
196,,,,,,,,,,,,
197,Strong Correlation Between Prevalence of Severe Vitamin D Deficiency and Population Mortality Rate from COVID-19 in Europe,"The authors recommend universal screening for vitamin D deficiency, and further investigation of Vitamin D supplementation in randomized control studies, which may lead to possible treatment or prevention of COVID-19.",-,-,_,-,_,10.1101/2020.06.24.20138644,,,,-
198,,,,,,,,,,,,
199,,,,,,,,,,,,
200,,,,,,,,,,,,
201,,,,,,,,,,,,
202,,,,,,,,,,,,
