,titulo,resumo,resumo_traduzido,revista,data,qualis,H-index,doi,pro,contra,indefinido,resultados
88,Systematic review and patient-level meta-analysis of SARS-CoV-2 viral dynamics to model response to antiviral therapies,"Severe acute respiratory syndrome-coronavirus 2 (SARS-CoV-2) viral loads change rapidly following symptom onset, so to assess antivirals it is important to understand the natural history and patient factors influencing this. We undertook an individual patient-level meta-analysis of SARS-CoV-2 viral dynamics in humans to describe viral dynamics and estimate the effects of antivirals used to date. This systematic review identified case reports, case series, and clinical trial data from publications between January 1, 2020, and May 31, 2020, following Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines. A multivariable Cox proportional hazards (Cox-PH) regression model of time to viral clearance was fitted to respiratory and stool samples. A simplified four parameter nonlinear mixed-effects (NLME) model was fitted to viral load trajectories in all sampling sites and covariate modeling of respiratory viral dynamics was performed to quantify time-dependent drug effects. Patient-level data from 645 individuals (age 1 month to 100 years) with 6,316 viral loads were extracted. Model-based simulations of viral load trajectories in samples from the upper and lower respiratory tract, stool, blood, urine, ocular secretions, and breast milk were generated. Cox-PH modeling showed longer time to viral clearance in older patients, men, and those with more severe disease. Remdesivir was associated with faster viral clearance (adjusted hazard ratio (AHR) = 9.19, P < 0.001), as well as interferon, particularly when combined with ribavirin (AHR = 2.2, P = 0.015; AHR = 6.04, P = 0.006). Combination therapy should be further investigated. A viral dynamic dataset and NLME model for designing and analyzing antiviral trials has been established.",-,-,_,-,_,10.1101/2020.08.20.20178699,['ribavirin'],,['remdesivir'],-
117,Comparative Effectiveness of Famotidine in Hospitalized COVID-19 Patients,We found no evidence of a reduced risk of COVID-19 outcomes among hospitalized COVID-19 patients who used famotidine compared with those who did not or compared with PPI or hydroxychloroquine users.,-,-,_,-,_,10.1101/2020.09.23.20199463,,"['famotidine', 'hydroxychloroquine']",,-
118,Mortality outcomes with hydroxychloroquine and chloroquine in COVID-19: an international collaborative meta-analysis of randomized trials.,We found no evidence of a reduced risk of COVID-19 outcomes among hospitalized COVID-19 patients who used famotidine compared with those who did not or compared with PPI or hydroxychloroquine users.,-,-,_,-,_,10.1101/2020.09.16.20194571,,"['hydroxychloroquine', 'famotidine']",['chloroquine'],-
121,"Combination of Tocilizumab and steroids to improve mortality in patients with severe COVID-19 infection: A spanish, multicenter, cohorty study",There is no benefit of the addition of lopinavir-ritonavir to the standard care in COVID-19 patients.,-,-,_,-,_,10.1101/2020.09.07.20189357,['tocilizumab'],,,-
127,Hydroxychloroquine for prevention of COVID-19 mortality: a population-based cohort study,Medical Research Council.,-,-,_,-,_,10.1101/2020.09.04.20187781,,,['hydroxychloroquine'],-
129,Role of Drugs used for chronic disease management on Susceptibility and Severity of COVID-19: A Large Case-Control Study,"This study aimed to investigate whether specific medications used in the treatment chronic diseases affected either the development and/ or severity of coronavirus disease 2019 (COVID-19) in a cohort of 610 COVID-19 cases and 48,667 population-based controls from Zhejiang, China. Using a cohort of 578 COVID-19 cases and 48,667 population-based controls from Zhejiang, China, we tested the role of usage of cardiovascular, antidiabetic, and other medications on risk and severity of COVID-19. Analyses were adjusted for age, sex, and body mass index and for presence of relevant comorbidities. Individuals with hypertension taking calcium channel blockers had significantly increased risk (odds ratio (OR) = 1.73, 95% confidence interval (CI) 1.2-2.3) of manifesting symptoms of COVID-19, whereas those taking angiotensin receptor blockers and diuretics had significantly lower disease risk (OR = 0.22, 95% CI 0.15-0.30 and OR = 0.30, 95% CI 0.19-0.58, respectively). Among those with type 2 diabetes, dipeptidyl peptidase-4 inhibitors (OR = 6.02, 95% CI 2.3-15.5) and insulin (OR = 2.71, 95% CI 1.6-5.5) were more and glucosidase inhibitors were less prevalent (OR = 0.11, 95% CI 0.1-0.3) among with patients with COVID-19. Drugs used in the treatment of hypertension and diabetes influence the risk of development of COVID-19, but, not its severity.",-,-,_,-,_,10.1101/2020.04.24.20077875v2,,,['calcium'],-
145,A COVID-19 vaccine candidate 1 using SpyCatcher multimerization of the SARS-CoV-2 spike protein receptor-binding domain induces potent neutralising antibody responses,"There is need for effective and affordable vaccines against SARS-CoV-2 to tackle the ongoing pandemic. In this study, we describe a protein nanoparticle vaccine against SARS-CoV-2. The vaccine is based on the display of coronavirus spike glycoprotein receptor-binding domain (RBD) on a synthetic virus-like particle (VLP) platform, SpyCatcher003-mi3, using SpyTag/SpyCatcher technology. Low doses of RBD-SpyVLP in a prime-boost regimen induce a strong neutralising antibody response in mice and pigs that is superior to convalescent human sera. We evaluate antibody quality using ACE2 blocking and neutralisation of cell infection by pseudovirus or wild-type SARS-CoV-2. Using competition assays with a monoclonal antibody panel, we show that RBD-SpyVLP induces a polyclonal antibody response that recognises key epitopes on the RBD, reducing the likelihood of selecting neutralisation-escape mutants. Moreover, RBD-SpyVLP is thermostable and can be lyophilised without losing immunogenicity, to facilitate global distribution and reduce cold-chain dependence. The data suggests that RBD-SpyVLP provides strong potential to address clinical and logistic challenges of the COVID-19 pandemic.",-,-,_,-,_,10.1101/2020.08.31.275701,['vaccine'],,,-
148,Hydroxychloroquine in the treatment of outpatients with mildly symptomatic COVID-19: A multi-center observational study,In this retrospective observational study of SARS-CoV-2 infected non-hospitalized patients hydroxychloroquine exposure was associated with a decreased rate of subsequent hospitalization. Additional exploration of hydroxychloroquine in this mildly symptomatic outpatient population is warranted.,-,-,_,-,_,10.1101/2020.08.20.20178772,,['hydroxychloroquine'],,-
149,RNA-Based COVID-19 Vaccine BNT162b2 Selected for a Pivotal Efficacy Study,"These results support selection of the BNT162b2 vaccine candidate for Phase 2/3 large-scale safety and efficacy evaluation, currently underway.",-,-,_,-,_,10.1101/2020.08.17.20176651,['vaccine'],,,-
161,Effectiveness of booster BCG vaccination in preventing Covid-19 infection,"The evidence that BCG (bacille Calmette-Guerin) vaccine may increase the ability of the immune system to fight off pathogens other than tuberculosis has been studied in the past. This nonspecific immunity gained our interest, especially after initial reports of less cases in countries with universal BCG vaccination. In hopes of possible protective immunity, all staff of the Emirates International Hospital (United Arab Emirates) were offered a booster BCG vaccine in early March 2020. All the hospital staff were then tested for Covid-19 infection by the end of June 2020. We divided the subjects into two groups: booster vaccinated versus unvaccinated. The rate of Covid-19 infection was compared between the groups. Criteria included all staff who were offered the vaccine. Seventy-one subjects received the booster vaccination. This group had zero cases of positive COVID 19 infection. Two hundred nine subjects did not receive the vaccination, with 18 positive PCR confirmed COVID 19 cases. The infection rate in the unvaccinated group was 8.6% versus zero in the booster vaccinated group (Fisher's exact test ",-,-,_,-,_,10.1101/2020.08.10.20172288,['vaccine'],,,-
166,COVIDOSE: Low-dose tocilizumab in the treatment of Covid-19,"Interleukin-6 (IL-6)-mediated hyperinflammation may contribute to the mortality of coronavirus disease 2019 (COVID-19). The IL-6 receptor-blocking monoclonal antibody tocilizumab has been repurposed for COVID-19, but prospective trials and dose-finding studies in COVID-19 have not yet fully reported. We conducted a single-arm phase II trial of low-dose tocilizumab in nonintubated hospitalized adult patients with COVID-19, radiographic pulmonary infiltrate, fever, and C-reactive protein (CRP) ≥ 40 mg/L. We hypothesized that doses significantly lower than the emerging standards of 400 mg or 8 mg/kg would resolve clinical and laboratory indicators of hyperinflammation. A dose range from 40 to 200 mg was evaluated, with allowance for one repeat dose at 24 to 48 hours. The primary objective was to assess the relationship of dose to fever resolution and CRP response. Thirty-two patients received low-dose tocilizumab, with the majority experiencing fever resolution (75%) and CRP decline consistent with IL-6 pathway abrogation (86%) in the 24-48 hours following drug administration. There was no evidence of a relationship between dose and fever resolution or CRP decline over the dose range of 40-200 mg. Within the 28-day follow-up, 5 (16%) patients died. For patients who recovered, median time to clinical recovery was 3 days (interquartile range, 2-5). Clinically presumed and/or cultured bacterial superinfections were reported in 5 (16%) patients. Low-dose tocilizumab was associated with rapid improvement in clinical and laboratory measures of hyperinflammation in hospitalized patients with COVID-19. Results of this trial provide rationale for a randomized, controlled trial of low-dose tocilizumab in COVID-19.",-,-,_,-,_,10.1101/2020.07.20.20157503,['tocilizumab'],,,-
172,A Cluster-Randomized Trial of Hydroxychloroquine as Prevention of Covid-19 Transmission and Disease,"Postexposure therapy with hydroxychloroquine did not prevent SARS-CoV-2 infection or symptomatic Covid-19 in healthy persons exposed to a PCR-positive case patient. (Funded by the crowdfunding campaign YoMeCorono and others; BCN-PEP-CoV2 ClinicalTrials.gov number, NCT04304053.).",-,-,_,-,_,10.1101/2020.07.20.20157651,['hydroxychloroquine'],,,-
195,Effect of Systemic Inflammatory Response to SARS-CoV-2 on Lopinavir and Hydroxychloroquine Plasma Concentrations,"Coronavirus disease 2019 (COVID-19) leads to inflammatory cytokine release, which can downregulate the expression of metabolizing enzymes. This cascade affects drug concentrations in the plasma. We investigated the association between lopinavir (LPV) and hydroxychloroquine (HCQ) plasma concentrations and the levels of the acute-phase inflammation marker C-reactive protein (CRP). LPV plasma concentrations in 92 patients hospitalized at our institution were prospectively collected. Lopinavir-ritonavir was administered every 12 hours, 800/200 mg on day 1 and 400/100 mg on day 2 until day 5 or 7. HCQ was given at 800 mg, followed by 400 mg after 6, 24, and 48 h. Hematological, liver, kidney, and inflammation laboratory values were analyzed on the day of drug level determination. The median age of study participants was 59 (range, 24 to 85) years, and 71% were male. The median durations from symptom onset to hospitalization and treatment initiation were 7 days (interquartile range [IQR], 4 to 10) and 8 days (IQR, 5 to 10), respectively. The median LPV trough concentration on day 3 of treatment was 26.5 μg/ml (IQR, 18.9 to 31.5). LPV plasma concentrations positively correlated with CRP values (",-,-,_,-,_,10.1101/2020.07.05.20146878,,,"['lopinavir', 'hydroxychloroquine']",-
203,Hydroxychloroquine has no effect on SARS-CoV-2 load in nasopharynx of patients with mild form of COVID-19,"Because of the constantly growing numbers of COVID-19 infections and deaths, attempts were undertaken to find drugs with anti-SARS-CoV-2 activity among ones already approved for other pathologies. In the framework of such attempts, in a number of in vitro, as well as in vivo, models it was shown that hydroxychloroquine (HCQ) has an effect against SARS-CoV-2. While there were not enough clinical data to support the use of HCQ, several countries including Russia have included HCQ in treatment protocols for infected patients and for prophylaxis. In the current non-randomized, observational study we evaluated the SARS-CoV-2 RNA in nasopharynx swabs from infected patients 7-10 days post symptoms with clinically mild disease and compared the viral RNA load dynamics between patients receiving HCQ (200 mg twice per day according to the Ministry of Health of Russian Federation treatment instructions, n = 33) and a control group without antiviral pharmacological therapy (n = 12). We found a statistically significant relationship between maximal RNA quantity and deterioration of patients' medical conditions, and as well we confirmed arterial hypertension to be a risk factor for people with COVID-19. However, we showed that at the dose used in the study HCQ therapy neither shortened the viral shedding period nor reduced the virus RNA load.",-,-,_,-,_,10.1101/2020.06.30.20143289,['hydroxychloroquine'],,,-
207,First Clinical Use of Lenzilumab to Neutralize GM-CSF in Patients with Severe COVID-19 Pneumonia,"In high-risk COVID-19 patients with severe pneumonia, GM-CSF neutralization with lenzilumab was safe and associated with improved clinical outcomes, oxygen requirement, and cytokine storm.",-,-,_,-,_,10.1101/2020.06.08.20125369,,,['oxygen'],-
222,Outcomes in Patients with Severe COVID-19 Disease Treated with Tocilizumab – A Case- Controlled Study.,"A high basal level of autophagic flux in bladder cancer (BC) cells prevents cell death and weakens chemotherapy efficacy. However, how autophagy influences cancer-associated immunosuppression in BC remains undetermined. In this study, we observed a negative correlation between the autophagy-related markers LC3-II and programmed death ligand-1 (PD-L1) in BC cells. The autophagy inhibitors chloroquine (CQ) and bafilomycin A1 (Baf-A1) increased PD-L1 expression in BC cells through the ERK-JNK-c-Jun signal-transduction pathway. Moreover, the treatment of BC cells with CQ and Baf-A1 inhibited hsa-microRNA-34a (miR-34a) expression and miR-34a overexpression in BC cells prevented the autophagy blockade-induced PD-L1 expression; a negative correlation between miR-34a and PD-L1 expression was observed during treatment with autophagy inhibitors. Furthermore, miR-34a overexpression induced the cytotoxic activity of natural killer cells against BC cells. Our results provide evidence that autophagy blockade and its regulatory pathway affect cancer-associated immunosuppression through PD-L1 elevation. Thus, the coadministration of autophagy inhibitors and a PD-L1 immune checkpoint blockade provides a potential therapeutic approach for treating BC.",-,-,_,-,_,10.1093/qjmed/hcaa206,,['tocilizumab'],['chloroquine'],-
224,Clozapine treatment and risk of COVID-19.,"The antipsychotic clozapine is known to have immune-modulating effects. Clozapine treatment has been reported to be associated with increased risk of COVID-19 infection. However, it remains unclear whether this is because of increased testing of this patient group, who are closely monitored. We linked anonymised health records from mental health services in Cambridgeshire (UK), for patients taking antipsychotic medication, with data from the local COVID-19 testing hub. Patients receiving clozapine were more likely to be tested for COVID-19, but not to test positive. Increased testing in patients receiving clozapine suggests prudent judgement by clinicians, considering the overall health vulnerabilities of this group.",-,-,_,-,_,http://medrxiv.org/content/early/2020/06/20/2020.06.17.20133595.abstract,,['clozapine'],,-
231,Hydroxychloroquine-Induced Stevens-Johnson Syndrome in COVID-19: A rare Case Report.,"The international outbreak of respiratory illness termed coronavirus disease 2019 (COVID-19) began in December 2019 that has affected >0.8 million individuals. Self-limiting respiratory tract involvement, severe pneumonia, multiorgan failure and death are the spectrum of COVID-19. To date, there are no especial therapeutic agents for COVID-19 infections. One such medication includes the antimalarial hydroxychloroquine (HCQ), which recently reported as a possible therapy for shortening the duration of COVID-19 symptoms, reducing inflammatory reactions to infection, impairing the exacerbation of pneumonia and boosting lung imaging findings. Like all medications, HCQ has side effects and may occur in COVID-19 patients. Here, we report on the case of a 42-year-old woman, presented with fever and dry cough, who had COVID-19 and 2 days later presented with a pruritic erythematous maculopapular rash, which started from the distal of upper extremities and rapidly, involved the entire body.",-,-,_,-,_,https://www.researchsquare.com/article/rs-26196/v1,['hydroxychloroquine'],,,-
238,Tocilizumab as a Therapeutic Agent for Critically Ill Patients Infected with SARS-CoV-2.,"Tocilizumab is an IL-6 receptor antagonist with the ability to suppress the cytokine storm in critically ill patients infected with severe acute respiratory syndrome-coronavirus 2 (SARS-CoV-2). We evaluated patients treated with tocilizumab for a SARS-CoV-2 infection who were admitted between March 13, 2020, and April 16, 2020. This was a multicenter study with data collected by chart review both retrospectively and concurrently. Parameters evaluated included age, sex, race, use of mechanical ventilation (MV), usage of steroids and vasopressors, inflammatory markers, and comorbidities. Early dosing was defined as a tocilizumab dose administered prior to or within 1 day of intubation. Late dosing was defined as a dose administered > 1 day after intubation. In the absence of MV, the timing of the dose was related to the patient's date of admission only. We evaluated 145 patients. The average age was 58.1 years, 64% were men, 68.3% had comorbidities, and 60% received steroid therapy. Disposition of patients was 48.3% discharged and 29.3% died, of which 43.9% were African American. MV was required in 55.9%, of which 34.5% died. Avoidance of MV (P = 0.002) and increased survival (P < 0.001) was statistically associated with early dosing. Tocilizumab therapy was effective at decreasing mortality and should be instituted early in the management of critically ill patients with coronavirus disease 2019) COVID-19).",-,-,_,-,_,http://medrxiv.org/content/early/2020/06/08/2020.06.05.20122622.abstract,,['tocilizumab'],,-
241,Assessment of Hydroxychloroquine and Chloroquine Safety Profiles – A Systematic Review and Meta-Analysis.,The meta-analysis was registered on OSF (https://osf.io/jm3d9).,-,-,_,-,_,10.1101/2020.05.02.20088872,"['hydroxychloroquine', 'chloroquine']",,,-
261,Nebulized in-line endotracheal dornase alfa and albuterol administered to mechanically 2 ventilated COVID-19 patients: A case series,"Results suggest that dornase alfa will be well-tolerated by patients with severe COVID-19. Clinical trials are required to formally test the dosing, safety, and efficacy of dornase alfa in COVID-19, and several have been recently registered.",-,-,_,-,_,10.1101/2020.05.13.20087734,,['albuterol'],,-
266,Hydroxychloroquine in COVID-19: A systematic review and meta-analysis,Hydroxychloroquine was not efficacious as early treatment for COVID-19 infections in RCTs with low to very low quality of evidence for all outcomes. More RCTs are needed to elucidate the efficacy of hydroxychloroquine as early treatment intervention.,-,-,_,-,_,10.1101/2020.05.14.20101774,,['hydroxychloroquine'],,-
270,Systematic Review and Meta-analysis of the Effectiveness and Safety of Hydroxychloroquine in COVID-19,PROSPERO CRD42020177818.,-,-,_,-,_,http://medrxiv.org/content/early/2020/05/12/2020.05.07.20093831.abstract,['hydroxychloroquine'],,,-
279,Hydroxychloroquine is associated with slower viral clearance in clinical COVID-19 patients with mild to moderate disease: A retrospective study,"There are conflicting data regarding the use of hydroxychloroquine (HCQ) in COVID-19 hospitalized patients. The objective of this study was to assess the efficacy of HCQ in increasing SARS-CoV-2 viral clearance.Hospitalized adult patients with confirmed SARS-CoV-2 infection were retrospectively included in the study. The primary outcome was the time from a confirmed positive nasopharyngeal swab to turn negative. A negative nasopharyngeal swab conversion was defined as a confirmed SARS-CoV-2 case followed by 2 negative results using RT-PCR assay with samples obtained 24 hours apart. Multiple linear regression analysis was used to adjust for potential confounders.Thirty-four confirmed COVID-19 patients completed the study. Nineteen (55.9%) patients presented with symptoms, and 14 (41.2%) had pneumonia. Only 21 (61.8%) patients received HCQ. The time to SARS-CoV-2 negativity nasopharyngeal test was significantly longer in patients who received HCQ than those who did not receive HCQ [17 (13-21) vs 10 (4-13) days, P = .023]. HCQ was independently associated with time to negativity test after adjustment for potential confounders (symptoms, comorbidities, antiviral drugs, pneumonia, or oxygen therapy) in multivariable Cox proportional hazards regression analysis (hazard ratio = 0.33, 95% confidence interval: 0.13-0.9, P = .024). On day 14, 47.8% (14/23) patients tested negative in the HCQ group compared with 90.9% (10/11) patients who did not receive HCQ (P = .016).HCQ was associated with a slower viral clearance in COVID-19 patients with mild to moderate disease. Data from ongoing randomized clinical trials with HCQ should provide a definitive answer regarding the efficacy and safety of this treatment.",-,-,_,-,_,10.1101/2020.04.27.20082180,,"['hydroxychloroquine', 'oxygen']",,-
287,Enisamium is a small molecule inhibitor of the influenza A virus and SARS-CoV-2 RNA polymerases,"Influenza A virus and coronavirus strains cause a mild to severe respiratory disease that can result in death. Although vaccines exist against circulating influenza A viruses, such vaccines are ineffective against emerging pandemic influenza A viruses. Currently, no vaccine exists against coronavirus infections, including pandemic SARS-CoV-2, the causative agent of the Coronavirus Disease 2019 (COVID-19). To combat these RNA virus infections, alternative antiviral strategies are needed. A key drug target is the viral RNA polymerase, which is responsible for viral RNA synthesis. In January 2020, the World Health Organisation identified enisamium as a candidate therapeutic against SARS-CoV-2. Enisamium is an isonicotinic acid derivative that is an inhibitor of multiple influenza B and A virus strains in cell culture and clinically approved in 11 countries. Here we show using ",-,-,_,-,_,https://www.biorxiv.org/content/10.1101/2020.04.21.053017v2,,['vaccine'],,-
289,"Boceprevir, GC-376, and calpain inhibitors II, XII inhibit SARS-CoV-2 viral replication by targeting the viral main protease","A new coronavirus SARS-CoV-2, also called novel coronavirus 2019 (2019-nCoV), started to circulate among humans around December 2019, and it is now widespread as a global pandemic. The disease caused by SARS-CoV-2 virus is called COVID-19, which is highly contagious and has an overall mortality rate of 6.35% as of May 26, 2020. There is no vaccine or antiviral available for SARS-CoV-2. In this study, we report our discovery of inhibitors targeting the SARS-CoV-2 main protease (M",-,-,_,-,_,10.1101/2020.04.20.051581,,"['boceprevir', 'vaccine']",,-
290,Heparin therapy improving hypoxia in COVID-19 patients - a case series,"Even though this uncontrolled case series does not offer absolute proof that micro thrombosis in the pulmonary circulation is the underlying mechanism of respiratory failure in COVID-19, patient's positive response to heparinization contributes to the understanding of the pathophysiological mechanism of the disease and provides valuable information for the treatment of these patients while we await the results of further prospective controlled studies.",-,-,_,-,_,10.1101/2020.04.15.20067017,['heparin'],,,-
293,Outcomes of hydroxychloroquine usage in United States veterans hospitalized with COVID-19,University of Virginia Strategic Investment Fund.,-,-,_,-,_,10.1101/2020.04.16.20065920,['hydroxychloroquine'],,,-
298,The FDA-approved gold drug Auranofin inhibits novel coronavirus (SARS-COV-2) replication and attenuates inflammation in human cells,"SARS-COV-2 has recently emerged as a new public health threat. Herein, we report that the FDA-approved drug, auranofin, inhibits SARS-COV-2 replication in human cells at low micro molar concentration. Treatment of cells with auranofin resulted in a 95% reduction in the viral RNA at 48 h after infection. Auranofin treatment dramatically reduced the expression of SARS-COV-2-induced cytokines in human cells. These data indicate that auranofin could be a useful drug to limit SARS-CoV-2 infection and associated lung injury due to its antiviral, anti-inflammatory and anti-reactive oxygen species (ROS) properties. Further animal studies are warranted to evaluate the safety and efficacy of auranofin for the management of SARS-COV-2 associated disease.",-,-,_,-,_,http://biorxiv.org/content/early/2020/04/15/2020.04.14.041228,,['auranofin'],['oxygen'],-
300,"Hydroxychloroquine in patients with COVID-19: an open-label, randomized, controlled trial","Although we cannot prove a statistically reliable effect of intravenous IgM-enriched immunoglobulins, the confidence intervals may suggest a clinically relevant effect in certain subgroups. Here, an early administration (i.e. in critically ill but not yet mechanically ventilated COVID-19 patients) and a dose of ≥ 15 g for at least 3 days may confer beneficial effects without concerning safety issues. However, these findings need to be validated in upcoming randomized clinical trials. Trial registration DRKS00025794 , German Clinical Trials Register, https://www.drks.de . Registered 6 July 2021.",-,-,_,-,_,http://medrxiv.org/content/early/2020/04/14/2020.04.10.20060558.abstract,['hydroxychloroquine'],,,-
