TECNOLOGIA	Título
Ácido ascórbico	Safety and Effectiveness of High-Dose Vitamin C in Patients with COVID-19; A Randomized Controlled open-label Clinical Trial.
Plasma convalescente	A single center cohort of 40 severe COVID-19 patients who were treated with convalescent plasma.
Remdesivir	Remdesivir for the treatment of COVID-19: A systematic review and meta-analysis of randomized controlled trials.
Remdesivir	Remdesivir for the treatment of COVID-19: A systematic review and meta-analysis of randomized controlled trials.
Cloroquina	Clinical outcome, viral response and safety profile of chloroquine in COVID-19 patients—initial experience.
colchicina	Treatment of severe acute respiratory syndrome (SARS), Middle East respiratory syndrome (MERS), and coronavirus disease 2019 (COVID-19): a systematic review of in vitro, in vivo, and clinical trials.
daclastavir	Treatment of severe acute respiratory syndrome (SARS), Middle East respiratory syndrome (MERS), and coronavirus disease 2019 (COVID-19): a systematic review of in vitro, in vivo, and clinical trials.
interferon	Treatment of severe acute respiratory syndrome (SARS), Middle East respiratory syndrome (MERS), and coronavirus disease 2019 (COVID-19): a systematic review of in vitro, in vivo, and clinical trials.
plasma convalescente	Treatment of severe acute respiratory syndrome (SARS), Middle East respiratory syndrome (MERS), and coronavirus disease 2019 (COVID-19): a systematic review of in vitro, in vivo, and clinical trials.
Sofosbuvir	Treatment of severe acute respiratory syndrome (SARS), Middle East respiratory syndrome (MERS), and coronavirus disease 2019 (COVID-19): a systematic review of in vitro, in vivo, and clinical trials.
Corticosteroides	Early corticosteroids are associated with lower mortality in critically ill patients with COVID-19: a cohort study.
Ácido ascórbico	The Role of Vitamin C as Adjuvant Therapy in COVID-19.
Antagonistas do Receptor da Angiotensina II	Continuation versus discontinuation of renin–angiotensin system inhibitors in patients admitted to hospital with COVID-19: a prospective, randomised, open-label trial.
Antagonistas do Receptor da Angiotensina II	Continuation versus discontinuation of renin–angiotensin system inhibitors in patients admitted to hospital with COVID-19: a prospective, randomised, open-label trial.
Antagonistas do Receptor da Angiotensina II	Continuation versus discontinuation of renin–angiotensin system inhibitors in patients admitted to hospital with COVID-19: a prospective, randomised, open-label trial.
Antagonistas do Receptor da Angiotensina II	Continuation versus discontinuation of renin–angiotensin system inhibitors in patients admitted to hospital with COVID-19: a prospective, randomised, open-label trial.
Antagonistas do Receptor da Angiotensina II	Continuation versus discontinuation of renin–angiotensin system inhibitors in patients admitted to hospital with COVID-19: a prospective, randomised, open-label trial.
Antagonistas do Receptor da Angiotensina II	Continuation versus discontinuation of renin–angiotensin system inhibitors in patients admitted to hospital with COVID-19: a prospective, randomised, open-label trial.
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	Continuation versus discontinuation of renin–angiotensin system inhibitors in patients admitted to hospital with COVID-19: a prospective, randomised, open-label trial.
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	Continuation versus discontinuation of renin–angiotensin system inhibitors in patients admitted to hospital with COVID-19: a prospective, randomised, open-label trial.
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	Continuation versus discontinuation of renin–angiotensin system inhibitors in patients admitted to hospital with COVID-19: a prospective, randomised, open-label trial.
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	Continuation versus discontinuation of renin–angiotensin system inhibitors in patients admitted to hospital with COVID-19: a prospective, randomised, open-label trial.
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	Continuation versus discontinuation of renin–angiotensin system inhibitors in patients admitted to hospital with COVID-19: a prospective, randomised, open-label trial.
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	Continuation versus discontinuation of renin–angiotensin system inhibitors in patients admitted to hospital with COVID-19: a prospective, randomised, open-label trial.
Interferon	Combination therapy of IFNβ1 with lopinavir–ritonavir, increases oxygenation, survival and discharging of sever COVID-19 infected inpatients.
Lopinavir	Combination therapy of IFNβ1 with lopinavir–ritonavir, increases oxygenation, survival and discharging of sever COVID-19 infected inpatients.
Ritonavir	Combination therapy of IFNβ1 with lopinavir–ritonavir, increases oxygenation, survival and discharging of sever COVID-19 infected inpatients.
Antagonistas do Receptor da Angiotensina II	Association of ACEI/ARB, inflammatory cytokines, and antiviral drugs with liver dysfunction in patients with hypertension and COVID-19.
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	Association of ACEI/ARB, inflammatory cytokines, and antiviral drugs with liver dysfunction in patients with hypertension and COVID-19.
Plasma convalescente	Early High-Titer Plasma Therapy to Prevent Severe Covid-19 in Older Adults.
Acetato de icatibanto	Umbilical cord mesenchymal stem cells for COVID-19 acute respiratory distress syndrome: A double-blind, phase 1/2a, randomized controlled trial.
Ácido alfa lipóico	Umbilical cord mesenchymal stem cells for COVID-19 acute respiratory distress syndrome: A double-blind, phase 1/2a, randomized controlled trial.
Ácido ascórbico	Umbilical cord mesenchymal stem cells for COVID-19 acute respiratory distress syndrome: A double-blind, phase 1/2a, randomized controlled trial.
Aprepitanto	Umbilical cord mesenchymal stem cells for COVID-19 acute respiratory distress syndrome: A double-blind, phase 1/2a, randomized controlled trial.
Auxora	Umbilical cord mesenchymal stem cells for COVID-19 acute respiratory distress syndrome: A double-blind, phase 1/2a, randomized controlled trial.
Azitromicina	Umbilical cord mesenchymal stem cells for COVID-19 acute respiratory distress syndrome: A double-blind, phase 1/2a, randomized controlled trial.
Azivudina	Umbilical cord mesenchymal stem cells for COVID-19 acute respiratory distress syndrome: A double-blind, phase 1/2a, randomized controlled trial.
Baloxavir marboxil	Umbilical cord mesenchymal stem cells for COVID-19 acute respiratory distress syndrome: A double-blind, phase 1/2a, randomized controlled trial.
Bromexina	Umbilical cord mesenchymal stem cells for COVID-19 acute respiratory distress syndrome: A double-blind, phase 1/2a, randomized controlled trial.
Cloroquina	Umbilical cord mesenchymal stem cells for COVID-19 acute respiratory distress syndrome: A double-blind, phase 1/2a, randomized controlled trial.
Cobicistato	Umbilical cord mesenchymal stem cells for COVID-19 acute respiratory distress syndrome: A double-blind, phase 1/2a, randomized controlled trial.
Colchicina	Umbilical cord mesenchymal stem cells for COVID-19 acute respiratory distress syndrome: A double-blind, phase 1/2a, randomized controlled trial.
Corticosteroides	Umbilical cord mesenchymal stem cells for COVID-19 acute respiratory distress syndrome: A double-blind, phase 1/2a, randomized controlled trial.
Daclatasvir	Umbilical cord mesenchymal stem cells for COVID-19 acute respiratory distress syndrome: A double-blind, phase 1/2a, randomized controlled trial.
Darunavir	Umbilical cord mesenchymal stem cells for COVID-19 acute respiratory distress syndrome: A double-blind, phase 1/2a, randomized controlled trial.
Dexametasona	Umbilical cord mesenchymal stem cells for COVID-19 acute respiratory distress syndrome: A double-blind, phase 1/2a, randomized controlled trial.
Difosfonato de metila (99-mTc)	Umbilical cord mesenchymal stem cells for COVID-19 acute respiratory distress syndrome: A double-blind, phase 1/2a, randomized controlled trial.
Fator estimulador de colônias de granulócitos humano recombinante	Umbilical cord mesenchymal stem cells for COVID-19 acute respiratory distress syndrome: A double-blind, phase 1/2a, randomized controlled trial.
Favipiravir	Umbilical cord mesenchymal stem cells for COVID-19 acute respiratory distress syndrome: A double-blind, phase 1/2a, randomized controlled trial.
Hidroxicloroquina	Umbilical cord mesenchymal stem cells for COVID-19 acute respiratory distress syndrome: A double-blind, phase 1/2a, randomized controlled trial.
Imunoglobulina	Umbilical cord mesenchymal stem cells for COVID-19 acute respiratory distress syndrome: A double-blind, phase 1/2a, randomized controlled trial.
Inibidor de C1 esterase/calicreína	Umbilical cord mesenchymal stem cells for COVID-19 acute respiratory distress syndrome: A double-blind, phase 1/2a, randomized controlled trial.
Interferon alfa	Umbilical cord mesenchymal stem cells for COVID-19 acute respiratory distress syndrome: A double-blind, phase 1/2a, randomized controlled trial.
Interferon beta	Umbilical cord mesenchymal stem cells for COVID-19 acute respiratory distress syndrome: A double-blind, phase 1/2a, randomized controlled trial.
Interferon gama	Umbilical cord mesenchymal stem cells for COVID-19 acute respiratory distress syndrome: A double-blind, phase 1/2a, randomized controlled trial.
Lincocin	Umbilical cord mesenchymal stem cells for COVID-19 acute respiratory distress syndrome: A double-blind, phase 1/2a, randomized controlled trial.
Lopinavir	Umbilical cord mesenchymal stem cells for COVID-19 acute respiratory distress syndrome: A double-blind, phase 1/2a, randomized controlled trial.
N-acetilcisteína	Umbilical cord mesenchymal stem cells for COVID-19 acute respiratory distress syndrome: A double-blind, phase 1/2a, randomized controlled trial.
Novaferon	Umbilical cord mesenchymal stem cells for COVID-19 acute respiratory distress syndrome: A double-blind, phase 1/2a, randomized controlled trial.
Plasma convalescente	Umbilical cord mesenchymal stem cells for COVID-19 acute respiratory distress syndrome: A double-blind, phase 1/2a, randomized controlled trial.
Remdesivir	Umbilical cord mesenchymal stem cells for COVID-19 acute respiratory distress syndrome: A double-blind, phase 1/2a, randomized controlled trial.
Ribavirina	Umbilical cord mesenchymal stem cells for COVID-19 acute respiratory distress syndrome: A double-blind, phase 1/2a, randomized controlled trial.
Ritonavir	Umbilical cord mesenchymal stem cells for COVID-19 acute respiratory distress syndrome: A double-blind, phase 1/2a, randomized controlled trial.
Sofosbuvir	Umbilical cord mesenchymal stem cells for COVID-19 acute respiratory distress syndrome: A double-blind, phase 1/2a, randomized controlled trial.
Solução salina eletrolisada	Umbilical cord mesenchymal stem cells for COVID-19 acute respiratory distress syndrome: A double-blind, phase 1/2a, randomized controlled trial.
Terapia celular	Umbilical cord mesenchymal stem cells for COVID-19 acute respiratory distress syndrome: A double-blind, phase 1/2a, randomized controlled trial.
Tocilizumabe	Umbilical cord mesenchymal stem cells for COVID-19 acute respiratory distress syndrome: A double-blind, phase 1/2a, randomized controlled trial.
Triazavirina	Umbilical cord mesenchymal stem cells for COVID-19 acute respiratory distress syndrome: A double-blind, phase 1/2a, randomized controlled trial.
Umifenovir	Umbilical cord mesenchymal stem cells for COVID-19 acute respiratory distress syndrome: A double-blind, phase 1/2a, randomized controlled trial.
Vilobelimabe	Umbilical cord mesenchymal stem cells for COVID-19 acute respiratory distress syndrome: A double-blind, phase 1/2a, randomized controlled trial.
Vitamina D (25-hidroxivitamina D)	Umbilical cord mesenchymal stem cells for COVID-19 acute respiratory distress syndrome: A double-blind, phase 1/2a, randomized controlled trial.
Fluoxetina	Association between SSRI Antidepressant Use and Reduced Risk of Intubation or Death in Hospitalized Patients with Coronavirus Disease 2019: a Multicenter Retrospective Observational Study.
Fluoxetina	Association between SSRI Antidepressant Use and Reduced Risk of Intubation or Death in Hospitalized Patients with Coronavirus Disease 2019: a Multicenter Retrospective Observational Study.
Venlafaxina	Association between SSRI Antidepressant Use and Reduced Risk of Intubation or Death in Hospitalized Patients with Coronavirus Disease 2019: a Multicenter Retrospective Observational Study.
Venlafaxina	Association between SSRI Antidepressant Use and Reduced Risk of Intubation or Death in Hospitalized Patients with Coronavirus Disease 2019: a Multicenter Retrospective Observational Study.
Azitromicina	Systematic Review on the Therapeutic Options for COVID-19: Clinical Evidence of Drug Efficacy and Implications.
Azitromicina	Systematic Review on the Therapeutic Options for COVID-19: Clinical Evidence of Drug Efficacy and Implications.
Azitromicina	Systematic Review on the Therapeutic Options for COVID-19: Clinical Evidence of Drug Efficacy and Implications.
Azitromicina	Systematic Review on the Therapeutic Options for COVID-19: Clinical Evidence of Drug Efficacy and Implications.
Azitromicina	Systematic Review on the Therapeutic Options for COVID-19: Clinical Evidence of Drug Efficacy and Implications.
Dexametasona	Systematic Review on the Therapeutic Options for COVID-19: Clinical Evidence of Drug Efficacy and Implications.
Dexametasona	Systematic Review on the Therapeutic Options for COVID-19: Clinical Evidence of Drug Efficacy and Implications.
Dexametasona	Systematic Review on the Therapeutic Options for COVID-19: Clinical Evidence of Drug Efficacy and Implications.
Dexametasona	Systematic Review on the Therapeutic Options for COVID-19: Clinical Evidence of Drug Efficacy and Implications.
Dexametasona	Systematic Review on the Therapeutic Options for COVID-19: Clinical Evidence of Drug Efficacy and Implications.
Hidroxicloroquina	Systematic Review on the Therapeutic Options for COVID-19: Clinical Evidence of Drug Efficacy and Implications.
Hidroxicloroquina	Systematic Review on the Therapeutic Options for COVID-19: Clinical Evidence of Drug Efficacy and Implications.
Hidroxicloroquina	Systematic Review on the Therapeutic Options for COVID-19: Clinical Evidence of Drug Efficacy and Implications.
Hidroxicloroquina	Systematic Review on the Therapeutic Options for COVID-19: Clinical Evidence of Drug Efficacy and Implications.
Hidroxicloroquina	Systematic Review on the Therapeutic Options for COVID-19: Clinical Evidence of Drug Efficacy and Implications.
Lopinavir	Systematic Review on the Therapeutic Options for COVID-19: Clinical Evidence of Drug Efficacy and Implications.
Lopinavir	Systematic Review on the Therapeutic Options for COVID-19: Clinical Evidence of Drug Efficacy and Implications.
Lopinavir	Systematic Review on the Therapeutic Options for COVID-19: Clinical Evidence of Drug Efficacy and Implications.
Lopinavir	Systematic Review on the Therapeutic Options for COVID-19: Clinical Evidence of Drug Efficacy and Implications.
Lopinavir	Systematic Review on the Therapeutic Options for COVID-19: Clinical Evidence of Drug Efficacy and Implications.
Prednisona	Systematic Review on the Therapeutic Options for COVID-19: Clinical Evidence of Drug Efficacy and Implications.
Prednisona	Systematic Review on the Therapeutic Options for COVID-19: Clinical Evidence of Drug Efficacy and Implications.
Prednisona	Systematic Review on the Therapeutic Options for COVID-19: Clinical Evidence of Drug Efficacy and Implications.
Prednisona	Systematic Review on the Therapeutic Options for COVID-19: Clinical Evidence of Drug Efficacy and Implications.
Prednisona	Systematic Review on the Therapeutic Options for COVID-19: Clinical Evidence of Drug Efficacy and Implications.
Remdesivir	Systematic Review on the Therapeutic Options for COVID-19: Clinical Evidence of Drug Efficacy and Implications.
Remdesivir	Systematic Review on the Therapeutic Options for COVID-19: Clinical Evidence of Drug Efficacy and Implications.
Remdesivir	Systematic Review on the Therapeutic Options for COVID-19: Clinical Evidence of Drug Efficacy and Implications.
Remdesivir	Systematic Review on the Therapeutic Options for COVID-19: Clinical Evidence of Drug Efficacy and Implications.
Remdesivir	Systematic Review on the Therapeutic Options for COVID-19: Clinical Evidence of Drug Efficacy and Implications.
Ritonavir	Systematic Review on the Therapeutic Options for COVID-19: Clinical Evidence of Drug Efficacy and Implications.
Ritonavir	Systematic Review on the Therapeutic Options for COVID-19: Clinical Evidence of Drug Efficacy and Implications.
Ritonavir	Systematic Review on the Therapeutic Options for COVID-19: Clinical Evidence of Drug Efficacy and Implications.
Ritonavir	Systematic Review on the Therapeutic Options for COVID-19: Clinical Evidence of Drug Efficacy and Implications.
Ritonavir	Systematic Review on the Therapeutic Options for COVID-19: Clinical Evidence of Drug Efficacy and Implications.
Tocilizumabe	Systematic Review on the Therapeutic Options for COVID-19: Clinical Evidence of Drug Efficacy and Implications.
Tocilizumabe	Systematic Review on the Therapeutic Options for COVID-19: Clinical Evidence of Drug Efficacy and Implications.
Tocilizumabe	Systematic Review on the Therapeutic Options for COVID-19: Clinical Evidence of Drug Efficacy and Implications.
Tocilizumabe	Systematic Review on the Therapeutic Options for COVID-19: Clinical Evidence of Drug Efficacy and Implications.
Tocilizumabe	Systematic Review on the Therapeutic Options for COVID-19: Clinical Evidence of Drug Efficacy and Implications.
Prednisona	Early Experience With Methylprednisolone on SARS-CoV-2 Infection in the African American Population, a Retrospective Analysis.
Anticoagulantes	Beneficial Effects of Intermediate Dosage of Anticoagulation Treatment on the Prognosis of Hospitalized COVID-19 Patients: The ETHRA Study.
Anticoagulantes	Beneficial Effects of Intermediate Dosage of Anticoagulation Treatment on the Prognosis of Hospitalized COVID-19 Patients: The ETHRA Study.
Antagonistas do Receptor da Angiotensina II	Long-term ACE Inhibitor/ARB Use Is Associated With Severe Renal Dysfunction and Acute Kidney Injury in Patients With Severe COVID-19: Results From a Referral Center Cohort in the Northeast of France.
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	Long-term ACE Inhibitor/ARB Use Is Associated With Severe Renal Dysfunction and Acute Kidney Injury in Patients With Severe COVID-19: Results From a Referral Center Cohort in the Northeast of France.
Vitamina D (25-hidroxivitamina D)	The impact of vitamin D supplementation on mortality rate and clinical outcomes of COVID-19 patients: A systematic review and meta-analysis.
Ivermectina	Ivermectin shows clinical benefits in mild to moderate COVID19: A randomised controlled double blind dose response study in Lagos.
Ivermectina	Ivermectin shows clinical benefits in mild to moderate COVID19: A randomised controlled double blind dose response study in Lagos.
Corticosteroides	Efectividad de los glucocorticoides en pacientes hospitalizados por neumonía grave por SARS-CoV-2.
Prednisolona	Efectividad de los glucocorticoides en pacientes hospitalizados por neumonía grave por SARS-CoV-2.
Estatina	Impact of prior statin use on clinical outcomes in COVID-19 patients: data from tertiary referral hospitals during COVID-19 pandemic in Italy.
Vitamina D (25-hidroxivitamina D)	Low vitamin D status is associated with coronavirus disease 2019 outcomes: A systematic review and meta-analysis
Metformina	Association of metformin with mortality or ARDS in patients with COVID-19 and type 2 diabetes: a retrospective cohort study.
Vacina mRNA-1273	Efficacy and Safety of the mRNA-1273 SARS-CoV-2 Vaccine.
Vacina INO-4800	Safety and immunogenicity of INO-4800 DNA vaccine against SARS-CoV-2: A preliminary report of an open-label, Phase 1 clinical trial.
Vacina INO-4800	Safety and immunogenicity of INO-4800 DNA vaccine against SARS-CoV-2: A preliminary report of an open-label, Phase 1 clinical trial.
Estatina	Statins and clinical outcomes with COVID-19: Meta-analyses of observational studies.
Azitromicina	Clinical outcomes after early ambulatory multidrug therapy for high-risk SARS-CoV-2 (COVID-19) infection.
Ceftriaxona	Clinical outcomes after early ambulatory multidrug therapy for high-risk SARS-CoV-2 (COVID-19) infection.
Doxiciclina	Clinical outcomes after early ambulatory multidrug therapy for high-risk SARS-CoV-2 (COVID-19) infection.
Hidroxicloroquina	Clinical outcomes after early ambulatory multidrug therapy for high-risk SARS-CoV-2 (COVID-19) infection.
Ivermectina	Clinical outcomes after early ambulatory multidrug therapy for high-risk SARS-CoV-2 (COVID-19) infection.
Zinco	Clinical outcomes after early ambulatory multidrug therapy for high-risk SARS-CoV-2 (COVID-19) infection.
Favipiravir	Comparing ICU Admission Rates of Mild/Moderate COVID-19 Patients Treated with Hydroxychloroquine, Favipiravir, and Hydroxychloroquine plus Favipiravir.
Hidroxicloroquina	Comparing ICU Admission Rates of Mild/Moderate COVID-19 Patients Treated with Hydroxychloroquine, Favipiravir, and Hydroxychloroquine plus Favipiravir.
Tocilizumabe	Tocilizumab in the Management of COVID-19: A Preliminary Report.
Vitamina D (25-hidroxivitamina D)	Lack of Association of Baseline 25-Hydroxyvitamin D Levels and Cholecalciferol Treatment With Disease Severity and Mortality in Indian Patients Hospitalized for Covid-19.
Hidroxicloroquina	No clinical benefit in mortality associated with hydroxychloroquine treatment in patients with COVID-19.
Azitromicina	Risk Factors Associated With In-Hospital Mortality in a US National Sample of Patients With COVID-19.
Estatina	Risk Factors Associated With In-Hospital Mortality in a US National Sample of Patients With COVID-19.
Hidroxicloroquina	Risk Factors Associated With In-Hospital Mortality in a US National Sample of Patients With COVID-19.
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	Risk Factors Associated With In-Hospital Mortality in a US National Sample of Patients With COVID-19.
Corticosteroides	Ongoing Living Update of COVID-19 Therapeutic Options: Summary of Evidence.
Favipiravir	Ongoing Living Update of COVID-19 Therapeutic Options: Summary of Evidence.
Hidroxicloroquina	Ongoing Living Update of COVID-19 Therapeutic Options: Summary of Evidence.
Ivermectina	Ongoing Living Update of COVID-19 Therapeutic Options: Summary of Evidence.
Plasma convalescente	Ongoing Living Update of COVID-19 Therapeutic Options: Summary of Evidence.
Hidroxicloroquina	Prophylactic use of Hydroxychloroquine among Physicians working in Pandemic Hospitals.
Plasma convalescente	Safety and Efficacy of Convalescent Plasma for Severe COVID‐19: Interim Report of a Multicenter Phase II Study from Saudi Arabia.
Tocilizumabe	Effects of Tocilizumab in COVID-19 patients: a cohort study.
Bamlanivimabe	A Neutralizing Monoclonal Antibody for Hospitalized Patients with Covid-19.
Bamlanivimabe	A Neutralizing Monoclonal Antibody for Hospitalized Patients with Covid-19.
Dexametasona	Credible learning of hydroxychloroquine and dexamethasone effects on COVID-19 mortality outside of randomized trials.
Dexametasona	Credible learning of hydroxychloroquine and dexamethasone effects on COVID-19 mortality outside of randomized trials.
Hidroxicloroquina	Credible learning of hydroxychloroquine and dexamethasone effects on COVID-19 mortality outside of randomized trials.
Hidroxicloroquina	Credible learning of hydroxychloroquine and dexamethasone effects on COVID-19 mortality outside of randomized trials.
Tetraciclinas	Tetracyclines in COVID-19 patients quarantined at home: Literature evidence supporting Real-World Data from a Multicenter Observational Study Targeting Inflammatory & Infectious Dermatoses.
Epoprostenol	Effects of Inhaled Epoprostenol and Prone Positioning in Intubated Coronavirus Disease 2019 Patients With Refractory Hypoxemia.
Hidroxicloroquina	Efficacy of early hydroxychloroquine treatment in preventing COVID-19 pneumonia aggravation, the experience from Shanghai
Tocilizumabe	Early Clinical Outcomes with Tocilizumab for Severe Covid-19: A Two-Center Retrospective Study.
Hidroxicloroquina	QTc prolongation among hydroxychloroquine sulphate-treated COVID-19 patients: An observational study.
Prednisona	Effect of methylprednisolone in severe and critical COVID-19: Analysis of 102 cases.
Corticosteroides	Corticosteroid therapy in critically ill patients with COVID‑19: a multicenter, retrospective study.
Corticosteroides	Corticosteroid therapy in critically ill patients with COVID‑19: a multicenter, retrospective study.
Antagonistas do Receptor da Angiotensina II	Renin-angiotensin system blockers, risk of SARS-CoV-2 infection and outcomes from CoViD-19: systematic review and meta-analysis.
Antagonistas do Receptor da Angiotensina II	Renin-angiotensin system blockers, risk of SARS-CoV-2 infection and outcomes from CoViD-19: systematic review and meta-analysis.
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	Renin-angiotensin system blockers, risk of SARS-CoV-2 infection and outcomes from CoViD-19: systematic review and meta-analysis.
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	Renin-angiotensin system blockers, risk of SARS-CoV-2 infection and outcomes from CoViD-19: systematic review and meta-analysis.
Azitromicina	A systematic review and meta‑analysis on chloroquine and hydroxychloroquine as monotherapy or combined with azithromycin in COVID‑19 treatment
Azitromicina	A systematic review and meta‑analysis on chloroquine and hydroxychloroquine as monotherapy or combined with azithromycin in COVID‑19 treatment
Azitromicina	A systematic review and meta‑analysis on chloroquine and hydroxychloroquine as monotherapy or combined with azithromycin in COVID‑19 treatment
Cloroquina	A systematic review and meta‑analysis on chloroquine and hydroxychloroquine as monotherapy or combined with azithromycin in COVID‑19 treatment
Cloroquina	A systematic review and meta‑analysis on chloroquine and hydroxychloroquine as monotherapy or combined with azithromycin in COVID‑19 treatment
Cloroquina	A systematic review and meta‑analysis on chloroquine and hydroxychloroquine as monotherapy or combined with azithromycin in COVID‑19 treatment
Hidroxicloroquina	A systematic review and meta‑analysis on chloroquine and hydroxychloroquine as monotherapy or combined with azithromycin in COVID‑19 treatment
Hidroxicloroquina	A systematic review and meta‑analysis on chloroquine and hydroxychloroquine as monotherapy or combined with azithromycin in COVID‑19 treatment
Hidroxicloroquina	A systematic review and meta‑analysis on chloroquine and hydroxychloroquine as monotherapy or combined with azithromycin in COVID‑19 treatment
Daclatasvir	Sofosbuvir and daclatasvir for the treatment of COVID-19 outpatients: a double-blind, randomized controlled trial.
Daclatasvir	Sofosbuvir and daclatasvir for the treatment of COVID-19 outpatients: a double-blind, randomized controlled trial.
Sofosbuvir	Sofosbuvir and daclatasvir for the treatment of COVID-19 outpatients: a double-blind, randomized controlled trial.
Sofosbuvir	Sofosbuvir and daclatasvir for the treatment of COVID-19 outpatients: a double-blind, randomized controlled trial.
Plasma convalescente	Convalescent plasma may be a possible treatment for COVID-19: A systematic review.
REGN-COV2	REGN-COV2, a Neutralizing Antibody Cocktail, in Outpatients with Covid-19.
Tocilizumabe	Tocilizumab in the Treatment of Critical COVID-19 Pneumonia: A Retrospective Cohort Study of Mechanically Ventilated Patients.
Enoxaparina	Thromboprofilaxys With Fondaparinux vs. Enoxaparin in Hospitalized COVID-19 Patients: A Multicenter Italian Observational Study.
Fondaparinux	Thromboprofilaxys With Fondaparinux vs. Enoxaparin in Hospitalized COVID-19 Patients: A Multicenter Italian Observational Study.
Anakinra	Glucocorticoids with low-dose anti-IL1 anakinra rescue in severe non-ICU COVID-19 infection: A cohort study.
Corticosteroides	Glucocorticoids with low-dose anti-IL1 anakinra rescue in severe non-ICU COVID-19 infection: A cohort study.
Corticosteroides	Risk Factors for Severe Disease and Efficacy of Treatment in Patients Infected With COVID-19: A Systematic Review, Meta-Analysis, and Meta-Regression Analysis.
Corticosteroides	Risk Factors for Severe Disease and Efficacy of Treatment in Patients Infected With COVID-19: A Systematic Review, Meta-Analysis, and Meta-Regression Analysis.
Lopinavir	Risk Factors for Severe Disease and Efficacy of Treatment in Patients Infected With COVID-19: A Systematic Review, Meta-Analysis, and Meta-Regression Analysis.
Lopinavir	Risk Factors for Severe Disease and Efficacy of Treatment in Patients Infected With COVID-19: A Systematic Review, Meta-Analysis, and Meta-Regression Analysis.
Ritonavir	Risk Factors for Severe Disease and Efficacy of Treatment in Patients Infected With COVID-19: A Systematic Review, Meta-Analysis, and Meta-Regression Analysis.
Ritonavir	Risk Factors for Severe Disease and Efficacy of Treatment in Patients Infected With COVID-19: A Systematic Review, Meta-Analysis, and Meta-Regression Analysis.
Plasma convalescente	Safety and efficacy of convalescent plasma therapy in severely and critically ill patients with COVID-19: A systematic review with meta-analysis.
Vitamina D (25-hidroxivitamina D)	Low 25-Hydroxyvitamin D Levels on Admission to the Intensive Care Unit May Predispose COVID-19 Pneumonia Patients to a Higher 28-Day Mortality Risk: A Pilot Study on a Greek ICU Cohort.
